SOrg,SaTy,Sales_Doc,Sold_to,Name_1,Ship_to,Name_11,CustLoy,FocCust,Territory,Created_on,Typ,Material,Item_Description,Order_Qty,Corrqty,ConfirmQty,SU,BO_value,Curr,InitReqDt,promised,MatAvDt,DlvDate,DS,DB,BOstatus,BO,BO_status_changed,GM,unc,Description,SC,Route,Reqdlvdt,key_material
8650,ZRO,7221164768,18870285,CONSTRUCTORA SANTA FE S A,23779670,BODEGA CENTRAL CONST SANTA FE SA,nan,nan,TCL3100010,2021-02-03,X6,208557,Tapa carcasa motor,100.0,100.0,100.0,PC,-124.372,CLP,2021-02-03,2021-02-24,2021-02-24,2021-02-24,A,nan,Unproc,X,,A,nan,REPAIR PARTS,0E,ZCL915,2021-02-03,8650/208557
8650,ZRO,7221748406,15919101,CONSTRUCTORA SALFA SA,27305425,1500E001 C AREA EQUIPO MAYOR,nan,X,TCL3400019,2021-03-29,X6,2076113,Rotor TE 70 220V-240V kit de servicio,100.0,100.0,100.0,PC,-304.171,CLP,2021-03-29,2021-04-30,2021-04-14,2021-04-30,A,nan,Unproc,X,,A,nan,REPAIR PARTS,0E,ZCL126,2021-03-29,8650/2076113
8650,ZRO,7222524729,15917761,CONSTRUCTORA PACAL  S A,27543364,OBRA GRAN ROBLE TALCA,nan,X,TCL3700011,2021-06-15,X6,2252970,Interruptor DGH130,100.0,100.0,100.0,PC,nan,CLP,2021-06-14,2021-06-22,2021-06-18,2021-06-22,A,nan,Unproc,X,,A,nan,REPAIR PARTS,0E,ZCL121,2021-06-14,8650/2252970
8650,ZRO,7222558401,21495207,SOLTEC CHILE SPA,27746037,PV-SOL DE LILA,nan,X,TCL2600010,2021-06-16,X6,2138147,Engranaje SIW 6AT-A22,100.0,100.0,100.0,PC,nan,CLP,2021-06-17,2021-07-07,2021-07-07,2021-07-07,A,nan,Unproc,X,,A,nan,REPAIR PARTS,0E,ZCL915,2021-06-17,8650/2138147
8650,ZRO,7222742400,15923727,COMERCIAL LEJOMA SPA,19119144,COMERCIAL LEJOMA LTDA.,nan,X,TCL3100021,2021-07-02,X6,2153042,Corredera SAG 125-13S,100.0,100.0,100.0,PC,nan,CLP,2021-07-02,2021-07-13,2021-07-13,2021-07-13,A,nan,Unproc,X,,A,nan,REPAIR PARTS,0E,ZCL915,2021-07-02,8650/2153042
8650,ZRO,7223076442,15916898,CONSTRUCTORA POCURO SPA,27184700,ALTOS DE SAN ANDRES I TORRE 1 Y 2,nan,X,TCL3700013,2021-08-04,X6,241370,Rotor 220V - 240V embal.,100.0,100.0,100.0,PC,88.600,CLP,2021-08-04,2021-08-17,2021-08-13,2021-08-17,A,nan,Unproc,X,,A,nan,REPAIR PARTS,0E,ZCL103,2021-08-04,8650/241370
8650,ZRO,7223221581,23763983,CONSTRUCTORA ALTURAS DEL SUR SPA,25769759,O096 - OBRA / URBANO BUSTAMANTE,nan,nan,TCL3300016,2021-08-20,X6,363951,Motor 220V-240V cpl,100.0,100.0,,PC,nan,CLP,,,,2021-08-20,nan,Z3,Unproc,X,,nan,X,REPAIR PARTS,0E,ZCL915,2021-08-20,8650/363951
8650,ZRO,7223221581,23763983,CONSTRUCTORA ALTURAS DEL SUR SPA,25769759,O096 - OBRA / URBANO BUSTAMANTE,nan,nan,TCL3300016,2021-08-20,X6,2008089,Tapa de válvula kit,100.0,100.0,,PC,nan,CLP,,,,2021-08-20,nan,Z3,Unproc,X,,nan,X,REPAIR PARTS,0E,ZCL915,2021-08-20,8650/2008089
3000,OR,574163335,26932552,EXPERIENCIAS XCARET HOTELES,26932552,EXPERIENCIAS XCARET HOTELES,nan,X,TMXS015305,2024-04-01,Y1,2210266,Ultimate exp anc KB-TZ2 1/2x5 1/2 SS316,2000.0,2000.0,2000.0,PC,"9.619,50",MXN,2024-04-02,2024-05-10,2024-07-10,2024-07-17,A,nan,Unproc,X,,A,nan,Anchors Mechanical,S1,ZMXA06,2024-04-02,3000/2210266
3000,OR,574163377,22247803,INGEMAS MEXICO,29745072,INGEMAS MEXICO S.A. DE C.V.,nan,nan,TMXS012907,2024-04-01,X0,2210301,Ultimate exp anc KB-TZ2 1x9,,500.0,500.0,PC,"6.417,77",MXN,2024-05-15,2024-05-15,2024-07-23,2024-07-26,A,nan,Unproc,X,,A,nan,Anchors Mechanical,S1,ZMXA02,2024-05-15,3000/2210301
3000,OR,574163664,19035374,DISEÑO INTEGRAL Y CONSTRUCCIONES,19035374,DISEÑO INTEGRAL Y CONSTRUCCIONES,nan,X,TMXS015305,2024-04-01,X6,2179275,Guía pernos X-FG B3-IF 02 embal.,100.0,100.0,100.0,PC,"738,63",MXN,2024-04-04,2024-06-18,2024-07-24,2024-07-31,A,nan,Unproc,X,,A,nan,DX,ST,ZMX998,2024-04-04,3000/2179275
3000,OR,574163725,18226947,FLOOR SEAL DE MEXICO,18226947,FLOOR SEAL DE MEXICO,nan,nan,TMXS015113,2024-04-01,X6,2233562,Disco diam 230/22 SPX univ,,100.0,100.0,PC,"1.838,55",MXN,2024-04-01,2024-06-13,2024-07-12,2024-07-16,A,nan,Unproc,X,,A,nan,Diamond Light,SX,ZMXA01,2024-04-01,3000/2233562
3000,OR,574163749,18683886,MARIA DEL CARMEN,18683886,MARIA DEL CARMEN,nan,X,TMXS015411,2024-04-01,X6,2341075,"Broca para taladro TE-C 1""-10""",100.0,100.0,100.0,PC,"379,02",MXN,2024-04-03,2024-06-17,2024-07-12,2024-07-17,A,nan,Unproc,X,,A,nan,PTA Cordless,S1,ZMXA02,2024-04-03,3000/2341075
3000,OR,574165773,20704389,PROTEINAS Y OLEICOS,30788801,PROTEINAS Y OLEICOS,nan,nan,TMXCAM0105,2024-04-02,X6,2018448,"Varilla anclaje HIT-Z 5/8"" x 9 1/2""",2400.0,2400.0,2400.0,PC,"6.755,80",MXN,2024-04-03,2024-06-10,2024-07-10,2024-07-15,A,nan,Unproc,X,,A,nan,Anchors Chemical,S0,ZMXA02,2024-04-03,3000/2018448
