Doc_No,Shipment,PurchDoc,Item_1,Material,Material_Description,Plnt,SLoc,PO_Quantity,OUn,OUn1,Item_2,Delivery,Reference,Supplier,POrg,PGr,Vendor,ShPt,DelivDate,Doc_Date,Ext_Order_Pos,Ext_Order_Number,SupplVndr,TrackingNo,Reservation,Reservation_item,Reservation_order_date,Diffdays,key_material
4051475564,10323344,4536948484,1,228342,Ceiling clip X-ECC MX,3000,1,768000000000.0,PC,PC,10,680830558,1151614592.0,HUS4701,3000,MX1,9999.0,3000,2024-07-09,2024-06-26,30,56193733,HUS4701,D147017,13147017,0,2024-03-13,0.0,3000/228342
4051475564,10323344,4536948485,1,228342,Ceiling clip X-ECC MX,3000,1,768000000000.0,PC,PC,10,680830559,1151614593.0,HUS4701,3000,MX1,9999.0,3000,2024-07-09,2024-06-26,30,56193733,HUS4701,D147017,13147017,0,2024-03-13,0.0,3000/228342
4051475564,10323344,4536948486,1,228342,Ceiling clip X-ECC MX,3000,1,672000000000.0,PC,PC,10,680830560,1151614595.0,HUS4701,3000,MX1,9999.0,3000,2024-07-09,2024-06-26,30,56193733,HUS4701,D147017,13147017,0,2024-03-13,0.0,3000/228342
4051475564,10323344,4536948487,1,2207574,"Flush anchor HDV 1/4""",3000,1,10000000000.0,PC,PC,10,680830561,1151614586.0,HUS4701,3000,MX1,9999.0,3000,2024-07-09,2024-06-26,20,56288697,HUS4701,D335599005,13335599,5,2024-06-13,-5.0,3000/2207574
4051475564,10323344,4536948487,2,2207574,"Flush anchor HDV 1/4""",3000,1,184000000000.0,PC,PC,20,680830561,1151614586.0,HUS4701,3000,MX1,9999.0,3000,2024-07-09,2024-06-26,30,56288697,HUS4701,D335599006,13335599,6,2024-06-13,9.0,3000/2207574
4051475564,10323344,4536948487,3,2207574,"Flush anchor HDV 1/4""",3000,1,6000000000.0,PC,PC,30,680830561,1151614586.0,HUS4701,3000,MX1,9999.0,3000,2024-07-09,2024-06-26,50,56288697,HUS4701,D335599009,13335599,9,2024-06-13,2.0,3000/2207574
4051475564,10323344,4536948488,1,285703,Wood/drywall screwdriver SD 2500 120V,3000,1,10000000.0,PC,PC,10,680830562,1151607720.0,HUS4701,3000,MX1,9999.0,3000,2024-07-09,2024-06-26,10,56284181,HUS4701,D327433018,13327433,18,2024-06-10,9.0,3000/285703
4051475564,10323344,4536948489,1,2372875,Battery charger C 4/12-50 115V box,3000,1,350000000.0,PC,PC,10,680830563,1151607725.0,HUS4701,3000,MX1,9999.0,3000,2024-07-09,2024-06-26,10,56291814,HUS4701,D341657004,13341657,4,2024-06-17,-33.0,3000/2372875
4051475564,10323344,4536948491,1,2260054,Battery charger C 8-22 115V box,3000,1,200000000.0,PC,PC,10,680830564,1151607734.0,HUS4701,3000,MX1,9999.0,3000,2024-07-09,2024-06-26,10,56276988,HUS4701,D316765001,13316765,1,2024-06-03,-41.0,3000/2260054
4051475564,10323344,4536948491,2,2028878,Battery charger C 4/36-350 115V box,3000,1,800000000.0,PC,PC,20,680830564,1151607734.0,HUS4701,3000,MX1,9999.0,3000,2024-07-09,2024-06-26,10,56280099,HUS4701,D321551001,13321551,1,2024-06-05,-41.0,3000/2028878
