CoCd|Plnt|Material|SLoc|MvT|Mat_Doc|Item|Pstng_Date|Qty_in_UnE|EUn|Material_Description|PO|Movement_Type_Text|Amount_in_LC|Quantity|Supplier|Rec|Mvt|Counter|TETy|key_plant
5241|8690|1954|0|101|5066408042|1|2024-05-24|1|PC|Drill bit extension TE-FY-E85|4536770435|GR st.in tr:ac.assg.|0.0|1.0|0|X|B|0|WE|8690/1954
5241|8690|1954|0|101|5065852360|1|2024-03-28|1|PC|Drill bit extension TE-FY-E85|4536457630|GR st.in tr:ac.assg.|0.0|1.0|0|X|B|0|WE|8690/1954
5241|8690|1954|0|101|5065091524|1|2024-01-16|1|PC|Drill bit extension TE-FY-E85|4536029679|GR st.in tr:ac.assg.|0.0|1.0|0|X|B|0|WE|8690/1954
5211|8790|1954|8733|101|5065415871|1|2024-02-16|1|PC|Drill bit extension TE-FY-E85|4536211178|GR stock in transit|0.0|1.0|0|X|B|0|WE|8790/1954
5211|8790|7743|0|101|5065307627|1|2024-02-06|1|PC|Marking character X-MC S 8/10 0-9 set|4536139920|GR st.in tr:ac.assg.|0.0|1.0|0|X|B|0|WE|8790/7743
5211|8790|7744|0|101|5065307628|1|2024-02-06|1|PC|Marking character X-MC S 8/10 A-Z set|4536139920|GR st.in tr:ac.assg.|0.0|1.0|0|X|B|0|WE|8790/7744
5241|8690|20039|0|101|5067154794|1|2024-08-12|50|PC|Threaded stud HDC 20|4537184721|GR st.in tr:ac.assg.|0.0|50.0|0|X|B|0|WE|8690/20039
5241|8690|24631|0|101|5067269212|1|2024-08-26|1|PC|Cleaner CFR1 500ML|4537255585|GR st.in tr:ac.assg.|0.0|1.0|0|X|B|0|WE|8690/24631
5241|8690|24631|0|101|5067155326|1|2024-08-12|1|PC|Cleaner CFR1 500ML|4537184721|GR st.in tr:ac.assg.|0.0|1.0|0|X|B|0|WE|8690/24631
5241|8690|24631|0|101|5066089029|1|2024-04-22|1|PC|Cleaner CFR1 500ML|4536593798|GR st.in tr:ac.assg.|0.0|1.0|0|X|B|0|WE|8690/24631
5241|8690|24631|0|101|5066017668|1|2024-04-15|1|PC|Cleaner CFR1 500ML|4536551977|GR st.in tr:ac.assg.|0.0|1.0|0|X|B|0|WE|8690/24631
5241|8690|24631|0|101|5065704932|1|2024-03-14|1|PC|Cleaner CFR1 500ML|4536377509|GR st.in tr:ac.assg.|0.0|1.0|0|X|B|0|WE|8690/24631
5241|8690|24631|0|101|5065220994|1|2024-01-29|1|PC|Cleaner CFR1 500ML|4536093986|GR st.in tr:ac.assg.|0.0|1.0|0|X|B|0|WE|8690/24631
5241|8690|24631|0|101|5065220987|1|2024-01-29|1|PC|Cleaner CFR1 500ML|4536099605|GR st.in tr:ac.assg.|0.0|1.0|0|X|B|0|WE|8690/24631
5251|3090|24669|0|101|5065432052|1|2024-02-19|1|PC|Dispenser CS 270-P1|4536202937|GR st.in tr:ac.assg.|0.0|1.0|0|X|B|0|WE|3090/24669
5241|8690|24669|0|101|5066584824|1|2024-06-12|1|PC|Dispenser CS 270-P1|4536863146|GR st.in tr:ac.assg.|0.0|1.0|0|X|B|0|WE|8690/24669
5251|3090|32220|101|101|5066947664|1|2024-07-18|1|PC|Insert shaft TE-C 1/2|4537064984|GR stock in transit|0.0|1.0|0|X|B|0|WE|3090/32220
5251|3090|32978|0|101|5067375616|1|2024-09-05|1|PC|"Setting tool HAND 1/4"""|4537309586|GR st.in tr:ac.assg.|0.0|1.0|0|X|B|0|WE|3090/32978
5251|3090|32979|0|101|5067375614|1|2024-09-05|1|PC|"Setting tool HAND 3/8"""|4537309586|GR st.in tr:ac.assg.|0.0|1.0|0|X|B|0|WE|3090/32979
5251|3090|32979|218|101|5065844589|1|2024-03-28|1|PC|"Setting tool HAND 3/8"""|4536363970|GR stock in transit|0.0|1.0|0|X|B|0|WE|3090/32979
5251|3090|32980|0|101|5066807655|1|2024-07-03|1|PC|"Setting tool HAND 1/2"""|4536950358|GR st.in tr:ac.assg.|0.0|1.0|0|X|B|0|WE|3090/32980
5251|3090|32980|0|101|5066502827|1|2024-06-04|1|PC|"Setting tool HAND 1/2"""|4536822404|GR st.in tr:ac.assg.|0.0|1.0|0|X|B|0|WE|3090/32980
5251|3090|32980|0|101|5065917552|1|2024-04-04|1|PC|"Setting tool HAND 1/2"""|4536466442|GR st.in tr:ac.assg.|0.0|1.0|0|X|B|0|WE|3090/32980
5251|3090|32980|0|101|5065760450|1|2024-03-20|1|PC|"Setting tool HAND 1/2"""|4536403571|GR st.in tr:ac.assg.|0.0|1.0|0|X|B|0|WE|3090/32980
5251|3090|32980|0|101|5065432054|1|2024-02-19|1|PC|"Setting tool HAND 1/2"""|4536202937|GR st.in tr:ac.assg.|0.0|1.0|0|X|B|0|WE|3090/32980
5251|3090|32980|0|101|5065352099|1|2024-02-10|1|PC|"Setting tool HAND 1/2"""|4536158113|GR st.in tr:ac.assg.|0.0|1.0|0|X|B|0|WE|3090/32980
5251|3090|32981|171|101|5066846041|1|2024-07-08|1|PC|"Setting tool HAND 5/8"""|4537009950|GR stock in transit|0.0|1.0|0|X|B|0|WE|3090/32981
5251|3090|32981|0|101|5066637322|1|2024-06-17|1|PC|"Setting tool HAND 5/8"""|4536892832|GR st.in tr:ac.assg.|0.0|1.0|0|X|B|0|WE|3090/32981
5251|3090|38249|0|101|5066214081|1|2024-05-03|1|PC|Extension hose HIT-VL 16 (10m)|4536655169|GR st.in tr:ac.assg.|0.0|1.0|0|X|B|0|WE|3090/38249
5241|8690|40619|0|101|5065748822|1|2024-03-19|100|PC|Pin with soft washer X-SW 60 C62|4536402637|GR st.in tr:ac.assg.|0.0|100.0|0|X|B|0|WE|8690/40619
5241|8690|56419|0|101|5066149748|1|2024-04-26|25|PC|Scaffolding restraint screw GRS 12/120|4536628064|GR st.in tr:ac.assg.|0.0|25.0|0|X|B|0|WE|8690/56419
5251|3090|60579|0|101|5067453266|1|2024-09-12|1|PC|Blow-out pump|4537325486|GR st.in tr:ac.assg.|0.0|1.0|0|X|B|0|WE|3090/60579
5251|3090|60579|0|101|5067155981|1|2024-08-12|1|PC|Blow-out pump|4537191219|GR st.in tr:ac.assg.|0.0|1.0|0|X|B|0|WE|3090/60579
5251|3090|60579|0|101|5067051133|1|2024-07-30|1|PC|Blow-out pump|4537131289|GR st.in tr:ac.assg.|0.0|1.0|0|X|B|0|WE|3090/60579
5251|3090|60579|0|101|5066519661|1|2024-06-05|1|PC|Blow-out pump|4536830686|GR st.in tr:ac.assg.|0.0|1.0|0|X|B|0|WE|3090/60579
5251|3090|60579|0|101|5066489777|1|2024-06-03|1|PC|Blow-out pump|4536798319|GR st.in tr:ac.assg.|0.0|1.0|0|X|B|0|WE|3090/60579
5251|3090|60579|170|101|5066447251|1|2024-05-29|1|PC|Blow-out pump|4536762345|GR stock in transit|0.0|1.0|0|X|B|0|WE|3090/60579
5251|3090|60579|0|101|5066272680|1|2024-05-10|1|PC|Blow-out pump|4536694503|GR st.in tr:ac.assg.|0.0|1.0|0|X|B|0|WE|3090/60579
5251|3090|60579|0|101|5066254088|1|2024-05-08|1|PC|Blow-out pump|4536655169|GR st.in tr:ac.assg.|0.0|1.0|0|X|B|0|WE|3090/60579
5251|3090|60579|0|101|5066012431|1|2024-04-15|1|PC|Blow-out pump|4536534065|GR st.in tr:ac.assg.|0.0|1.0|0|X|B|0|WE|3090/60579
5251|3090|60579|0|101|5065876423|1|2024-04-01|1|PC|Blow-out pump|4536449921|GR st.in tr:ac.assg.|0.0|1.0|0|X|B|0|WE|3090/60579
5251|3090|60579|218|101|5065791900|1|2024-03-22|1|PC|Blow-out pump|4536363970|GR stock in transit|0.0|1.0|0|X|B|0|WE|3090/60579
