POrg|Plnt|SLoc|Material|Type|Doc_Date|Supplier|Pur_Doc|Quantity|OUn|Quantity1|SKU|PGr|Net_Price|Crcy|Per|To_be_del_1|To_be_del_2|To_be_inv_1|To_be_inv_2|key_plant|key_material
8300|8330|1|2203491|NB|2024-09-13|9999       HILTI|4537359685|3000.0|M|3000.0|M|L11|48.84|USD|1.0|3000.0|146520.0|0.0|0.0|8330/2203491|8300/2203491
8300|8330|1|2203546|NB|2024-09-13|9999       HILTI|4537359687|25250.0|PC|25250.0|PC|L11|31.47|USD|100.0|25250.0|7946.18|0.0|0.0|8330/2203546|8300/2203546
8300|8330|1|2208751|NB|2024-09-13|9999       HILTI|4537359689|62350.0|PC|62350.0|PC|L11|7.34|USD|10.0|62350.0|45764.9|0.0|0.0|8330/2208751|8300/2208751
8300|8330|1|2238428|NB|2024-09-13|9999       HILTI|4537359691|1500.0|PC|1500.0|PC|L11|33.71|USD|1.0|1500.0|50565.0|0.0|0.0|8330/2238428|8300/2238428
8300|8330|1|2203491|NB|2024-09-13|9999       HILTI|4537359693|690.0|M|690.0|M|L11|48.84|USD|1.0|690.0|33699.6|0.0|0.0|8330/2203491|8300/2203491
8300|8330|1|2203495|NB|2024-09-13|9999       HILTI|4537359695|39.0|M|39.0|M|L11|95.87|USD|1.0|39.0|3738.93|0.0|0.0|8330/2203495|8300/2203495
8300|8330|1|2203504|NB|2024-09-13|9999       HILTI|4537359696|158.0|PC|158.0|PC|L11|5.1|USD|1.0|158.0|805.8|0.0|0.0|8330/2203504|8300/2203504
8300|8330|1|2203546|NB|2024-09-13|9999       HILTI|4537359698|1374.0|PC|1374.0|PC|L11|31.47|USD|100.0|1374.0|432.4|0.0|0.0|8330/2203546|8300/2203546
8300|8330|1|2205247|NB|2024-09-13|9999       HILTI|4537359700|600.0|PC|600.0|PC|L11|22.17|USD|100.0|600.0|133.02|0.0|0.0|8330/2205247|8300/2205247
8300|8330|1|2208751|NB|2024-09-13|9999       HILTI|4537359702|5100.0|PC|5100.0|PC|L11|7.34|USD|10.0|5100.0|3743.4|0.0|0.0|8330/2208751|8300/2208751
8300|8330|1|2216386|NB|2024-09-13|9999       HILTI|4537359703|149.0|PC|149.0|PC|L11|16.19|USD|1.0|149.0|2412.31|0.0|0.0|8330/2216386|8300/2216386
8300|8330|1|2216392|NB|2024-09-13|9999       HILTI|4537359705|5.0|PC|5.0|PC|L11|29.0|USD|1.0|5.0|145.0|0.0|0.0|8330/2216392|8300/2216392
8300|8330|1|2216424|NB|2024-09-13|9999       HILTI|4537359707|32.0|PC|32.0|PC|L11|25.76|USD|1.0|32.0|824.32|0.0|0.0|8330/2216424|8300/2216424
8300|8330|1|2226740|NB|2024-09-13|9999       HILTI|4537359709|22.0|PC|22.0|PC|L11|105.27|USD|1.0|22.0|2315.94|0.0|0.0|8330/2226740|8300/2226740
8300|8330|1|2342673|NB|2024-09-13|9999       HILTI|4537360192|37.0|PC|37.0|PC|L11|191.12|USD|1.0|37.0|7071.44|0.0|0.0|8330/2342673|8300/2342673
