ShPt,Plnt,SLoc,Delivery,Material,Item_Description,DlvQty,BUn,Supplier_Name,OPS,WM,GM,Delivdate,key_plant,key_material
8750,8750,1,681152500,1749,Pinza de montaje KNIPEX,6.0,PC,HILTI,0,0,A,2024-10-08,8750/1749,8750/1749
3000,3000,1,680979490,1953,Prolongación de broca TE-FY-E60,6.0,PC,HILTI,0,0,A,2024-10-02,3000/1953,3000/1953
3000,3000,1,681150410,1953,Prolongación de broca TE-FY-E60,4.0,PC,HILTI,0,0,A,2024-11-06,3000/1953,3000/1953
8650,8650,1,681047863,1954,Prolongación de broca TE-FY-E85,30.0,PC,HILTI,0,0,A,2024-09-30,8650/1954,8650/1954
3000,3000,1,681150418,1954,Prolongación de broca TE-FY-E85,4.0,PC,HILTI,0,0,A,2024-11-06,3000/1954,3000/1954
8330,8330,1,680907560,3739,Clip de mola,90.0,PC,HILTI,0,0,A,2024-09-11,8330/3739,8330/3739
8330,8330,1,680937969,3739,Clip de mola,90.0,PC,HILTI,0,0,A,2024-09-25,8330/3739,8330/3739
8650,8650,1,680995987,3739,Estribo de resorte,40.0,PC,HILTI,0,0,A,2024-09-23,8650/3739,8650/3739
8650,8650,1,681047854,3739,Estribo de resorte,40.0,PC,HILTI,0,0,A,2024-09-30,8650/3739,8650/3739
3000,3000,1,680859329,3769,Bolsa de repuestos,4.0,PC,HILTI,0,0,A,2024-09-17,3000/3769,3000/3769
3000,3000,1,680920046,3769,Bolsa de repuestos,3.0,PC,HILTI,0,0,A,2024-09-24,3000/3769,3000/3769
8330,8330,1,681107364,3994,Cola LOCTITE 243 50CCM,1.0,PC,HILTI,0,0,A,2024-09-13,8330/3994,8330/3994
8750,8750,1,681048714,7743,Carácter marc. X-MC S 8/10 0-9 juego,1.0,PC,HILTI,0,0,A,2024-10-16,8750/7743,8750/7743
8750,8750,1,681048714,7743,Carácter marc. X-MC S 8/10 0-9 juego,1.0,PC,HILTI,0,0,A,2024-10-16,8750/7743,8750/7743
8330,8330,1,681137056,9862,Adapt. broca coroa DD-BI 1 1/4-7 UNC cpl,1.0,PC,HILTI,0,0,A,2024-10-29,8330/9862,8330/9862
8650,8650,1,206240480,20039,Perno roscado HDC 20,150.0,PC,HILTI,0,0,A,2024-03-29,8650/20039,8650/20039
8650,8650,1,206240480,20039,Perno roscado HDC 20,50.0,PC,HILTI,0,0,A,2024-03-29,8650/20039,8650/20039
8650,8650,1,206240480,20040,Perno roscado HDB 27,150.0,PC,HILTI,0,0,A,2024-03-29,8650/20040,8650/20040
3000,3000,1,680859329,24669,Aplicador CS 270-P1,7.0,PC,HILTI,0,0,A,2024-09-17,3000/24669,3000/24669
8330,8330,1,680967150,24669,Dispensador CS 270-P1,10.0,PC,HILTI,0,0,A,2024-09-17,8330/24669,8330/24669
8330,8330,1,680967151,24669,Dispensador CS 270-P1,5.0,PC,HILTI,0,0,A,2024-09-17,8330/24669,8330/24669
3000,3000,1,680979490,24669,Aplicador CS 270-P1,7.0,PC,HILTI,0,0,A,2024-10-02,3000/24669,3000/24669
3000,3000,1,680792672,32220,Vástago para insertar TE-C 1/2,5.0,PC,HILTI,0,0,A,2024-09-13,3000/32220,3000/32220
8330,8330,1,681047914,32979,"Ferr. de instalação HAND 3/8""",25.0,PC,HILTI,0,0,A,2024-10-08,8330/32979,8330/32979
8330,8330,1,680810684,32980,"Ferr. de instalação HAND 1/2""",25.0,PC,HILTI,0,0,A,2024-09-25,8330/32980,8330/32980
3000,3000,1,680792650,41503,Clavo universal X-ENK 16 S12,1100.0,PC,HILTI,0,0,A,2024-09-13,3000/41503,3000/41503
3000,3000,1,681035822,41503,Clavo universal X-ENK 16 S12,400.0,PC,HILTI,0,0,A,2024-10-09,3000/41503,3000/41503
8650,8650,1,681106399,45455,Taco para andamio GD 14/100,1200.0,PC,HILTI,0,0,A,2024-10-14,8650/45455,8650/45455
8650,8650,1,681106417,45455,Taco para andamio GD 14/100,600.0,PC,HILTI,0,0,A,2024-10-14,8650/45455,8650/45455
3000,3000,1,680859329,47362,"Husillo de sujeción DD-1/2"" embal.",1.0,PC,HILTI,0,0,A,2024-09-17,3000/47362,3000/47362
3000,3000,1,205435050,50373,DX cartucho 6.8/11 M BULK rojo,10000.0,PC,HILTI,0,0,A,2024-10-01,3000/50373,3000/50373
3000,3000,1,205435052,50373,DX cartucho 6.8/11 M BULK rojo,10000.0,PC,HILTI,0,0,A,2024-10-01,3000/50373,3000/50373
3000,3000,1,205435054,50373,DX cartucho 6.8/11 M BULK rojo,10000.0,PC,HILTI,0,0,A,2024-10-01,3000/50373,3000/50373
3000,3000,1,205435055,50373,DX cartucho 6.8/11 M BULK rojo,10000.0,PC,HILTI,0,0,A,2024-10-01,3000/50373,3000/50373
3000,3000,1,205435057,50373,DX cartucho 6.8/11 M BULK rojo,10000.0,PC,HILTI,0,0,A,2024-10-01,3000/50373,3000/50373
3000,3000,1,205435058,50373,DX cartucho 6.8/11 M BULK rojo,10000.0,PC,HILTI,0,0,A,2024-10-01,3000/50373,3000/50373
3000,3000,1,205435060,50373,DX cartucho 6.8/11 M BULK rojo,10000.0,PC,HILTI,0,0,A,2024-10-01,3000/50373,3000/50373
3000,3000,1,205435061,50373,DX cartucho 6.8/11 M BULK rojo,10000.0,PC,HILTI,0,0,A,2024-10-01,3000/50373,3000/50373
3000,3000,1,205435063,50373,DX cartucho 6.8/11 M BULK rojo,10000.0,PC,HILTI,0,0,A,2024-10-01,3000/50373,3000/50373
3000,3000,1,205435064,50373,DX cartucho 6.8/11 M BULK rojo,10000.0,PC,HILTI,0,0,A,2024-10-01,3000/50373,3000/50373
8650,8650,1,680996009,56419,Tornillo para andamio GRS 12/120,600.0,PC,HILTI,0,0,A,2024-09-23,8650/56419,8650/56419
8330,8330,1,681077352,58706,Varão roscado AM8x3000 A4-70,20.0,PC,HILTI,0,0,A,2024-10-15,8330/58706,8330/58706
3000,3000,1,680793808,60579,Bombín de limpieza,50.0,PC,HILTI,0,0,A,2024-09-13,3000/60579,3000/60579
8330,8330,1,680908215,60579,Fole de limpeza,20.0,PC,HILTI,0,0,A,2024-09-12,8330/60579,8330/60579
3000,3000,1,681075282,60579,Bombín de limpieza,1.0,PC,nan,0,0,A,2024-10-20,3000/60579,3000/60579
8650,8650,1,681105455,60579,Bombín de limpieza,10.0,PC,HILTI,0,0,A,2024-10-14,8650/60579,8650/60579
3000,3000,1,680745911,61466,"Masonry drill bit TM 3/16""-6""",5.0,PC,HILTI INC.,0,0,A,2024-10-15,3000/61466,3000/61466
3000,3000,1,681154878,61470,"Masonry drill bit TM 1/4""-6""",1.0,PC,HILTI INC.,0,0,A,2024-10-15,3000/61470,3000/61470
3000,3000,1,680745911,61477,"Masonry drill bit TM 3/8""-6""",1.0,PC,HILTI INC.,0,0,A,2024-10-15,3000/61477,3000/61477
3000,3000,1,681154878,61477,"Masonry drill bit TM 3/8""-6""",12.0,PC,HILTI INC.,0,0,A,2024-10-15,3000/61477,3000/61477
3000,3000,1,680859329,74068,Adaptador TE-FY-BA-C cpl,1.0,PC,HILTI,0,0,A,2024-09-17,3000/74068,3000/74068
3000,3000,1,680920046,74068,Adaptador TE-FY-BA-C cpl,8.0,PC,HILTI,0,0,A,2024-09-24,3000/74068,3000/74068
8650,8650,1,680961634,84291,"Tor. tabique seco 6x1-1/4"" PBH S",504000.0,PC,HILTI,0,0,A,2024-10-07,8650/84291,8650/84291
8650,8650,1,681128482,84291,"Tor. tabique seco 6x1-1/4"" PBH S",504000.0,PC,HILTI,0,0,A,2024-11-13,8650/84291,8650/84291
8650,8650,1,681068129,84294,"Tor. tabique seco 6x1-1/4"" PBH S CRS",16000.0,PC,HILTI,0,0,A,2024-11-13,8650/84294,8650/84294
8650,8650,1,681128482,84294,"Tor. tabique seco 6x1-1/4"" PBH S CRS",256000.0,PC,HILTI,0,0,A,2024-11-13,8650/84294,8650/84294
8650,8650,1,680961634,86215,"Tor. tabique seco 6x1 1/4"" PBH SD ZN",224000.0,PC,HILTI,0,0,A,2024-10-07,8650/86215,8650/86215
8650,8650,1,681038426,86217,"Tor. tabique seco 6x1 5/8"" PBH SD ZN",240000.0,PC,HILTI,0,0,A,2024-10-23,8650/86217,8650/86217
3000,3000,1,681088062,93932,Llave frontal con pitones B35,5.0,PC,HILTI,0,0,A,2024-10-23,3000/93932,3000/93932
3000,3000,1,681088761,202342,Anclaje marcos HRD-C 8x80,50.0,PC,HILTI,0,0,A,2024-10-23,3000/202342,3000/202342
3000,3000,1,680920046,202900,Prolongación broca corona DD-BS-ET 300 A,1.0,PC,HILTI,0,0,A,2024-09-24,3000/202900,3000/202900
3000,3000,1,680920053,202900,Prolongación broca corona DD-BS-ET 300 A,4.0,PC,HILTI,0,0,A,2024-09-24,3000/202900,3000/202900
3000,3000,1,680920053,202900,Prolongación broca corona DD-BS-ET 300 A,4.0,PC,HILTI,0,0,A,2024-09-24,3000/202900,3000/202900
3000,3000,1,680979491,202900,Prolongación broca corona DD-BS-ET 300 A,4.0,PC,HILTI,0,0,A,2024-10-02,3000/202900,3000/202900
