SOrg,Plnt,Name_1,SLoc,Description,Material,Material_Description,Profl,Serial_Number,PP,Equipment,Pstng_Date,Total,Serials,BUn,key_plant,key_material
3000,3090,Hilti TS Mexico,100,3090-0100,272441,Battery charger C 4/36-ACS Li-Ion 115V,Z001,8001351,1,300029830821,2010-01-20,0,4,PC,3090/272441,3000/272441
3000,3090,Hilti TS Mexico,100,3090-0100,272441,Battery charger C 4/36-ACS Li-Ion 115V,Z001,8001502,1,300031076094,2010-06-21,0,4,PC,3090/272441,3000/272441
3000,3090,Hilti TS Mexico,100,3090-0100,272441,Battery charger C 4/36-ACS Li-Ion 115V,Z001,8002519,1,300034116235,2011-02-28,0,4,PC,3090/272441,3000/272441
3000,3090,Hilti TS Mexico,100,3090-0100,272441,Battery charger C 4/36-ACS Li-Ion 115V,Z001,8002627,1,300034116236,2011-02-28,0,4,PC,3090/272441,3000/272441
3000,3090,Hilti TS Mexico,100,3090-0100,274935,Diamond coring tool DD 120 120V,Z001,254782,1,300024180201,2008-05-28,0,2,PC,3090/274935,3000/274935
3000,3090,Hilti TS Mexico,100,3090-0100,274935,Diamond coring tool DD 120 120V,Z001,1415451,1,300024180761,2008-05-28,0,2,PC,3090/274935,3000/274935
3000,3090,Hilti TS Mexico,100,3090-0100,283495,Diamond coring tool DD 200 127V,Z001,78496,1,300038259514,2013-09-17,0,1,PC,3090/283495,3000/283495
3000,3090,Hilti TS Mexico,100,3090-0100,334239,Combihammer TE 76-ATC 120V,Z001,251541145,1,300024121423,2008-05-22,0,1,PC,3090/334239,3000/334239
3000,3090,Hilti TS Mexico,100,3090-0100,377325,Powder-actuated tool DX E72,Z001,79259,1,300021543280,2009-12-09,0,1,PC,3090/377325,3000/377325
3000,3090,Hilti TS Mexico,100,3090-0100,378272,Cordl. reciprocating saw WSR 650-A,Z001,125478,1,300024328098,2008-06-11,0,1,PC,3090/378272,3000/378272
3000,3090,Hilti TS Mexico,100,3090-0100,378426,Battery pack B 24/3.0 NiMH,Z001,366910,1,300030824540,2010-05-03,0,2,PC,3090/378426,3000/378426
3000,3090,Hilti TS Mexico,100,3090-0100,378426,Battery pack B 24/3.0 NiMH,Z001,14789632,1,300024328100,2008-06-11,0,2,PC,3090/378426,3000/378426
3000,3090,Hilti TS Mexico,100,3090-0100,378449,Battery charger C 7/24 115V,Z001,147365,1,300024328099,2008-06-11,0,5,PC,3090/378449,3000/378449
3000,3090,Hilti TS Mexico,100,3090-0100,378449,Battery charger C 7/24 115V,Z001,C,7,300016143496,2010-12-30,0,5,PC,3090/378449,3000/378449
3000,3090,Hilti TS Mexico,100,3090-0100,378449,Battery charger C 7/24 115V,Z001,C12487,1,300018369939,2008-11-27,0,5,PC,3090/378449,3000/378449
3000,3090,Hilti TS Mexico,100,3090-0100,378449,Battery charger C 7/24 115V,Z001,C203014,1,300026156706,2008-11-27,0,5,PC,3090/378449,3000/378449
3000,3090,Hilti TS Mexico,100,3090-0100,378449,Battery charger C 7/24 115V,Z001,C238900,1,300034057829,2011-02-22,0,5,PC,3090/378449,3000/378449
3000,3090,Hilti TS Mexico,100,3090-0100,378706,Cordl. hammer drill UH 240-A case,Z001,UH-2008067979,7,300032861952,2010-12-30,0,2,PC,3090/378706,3000/378706
3000,3090,Hilti TS Mexico,100,3090-0100,378706,Cordl. hammer drill UH 240-A case,Z001,422455,1,300024180762,2008-05-28,0,2,PC,3090/378706,3000/378706
3000,3090,Hilti TS Mexico,101,3090-0101,70287,Angle grinder DCG 230-D 127V box,Z001,109000086,1,300038075147,2012-02-15,0,1,PC,3090/70287,3000/70287
3000,3090,Hilti TS Mexico,101,3090-0101,70748,Angle grinder DCG 180-P 127V,Z001,50300139,1,300062456331,2016-10-17,0,2,PC,3090/70748,3000/70748
3000,3090,Hilti TS Mexico,101,3090-0101,70748,Angle grinder DCG 180-P 127V,Z001,992000231,1,300031545089,2010-07-09,0,2,PC,3090/70748,3000/70748
