Doc_No|Shipment|PurchDoc|Item_1|Material|Material_Description|Plnt|SLoc|PO_Quantity|OUn|OUn1|Item_2|Delivery|Reference|Supplier|POrg|PGr|Vendor|ShPt|DelivDate|Doc_Date|Ext_Order_Pos|Ext_Order_Number|SupplVndr|TrackingNo|Reservation|Reservation_item|Reservation_order_date|Diffdays|key_material
4051571434|10935080|4538362899|1.0|2237453|Anchor HSL4-G M24 d32x230 30/-/-|3000|1|16.0|PC|PC|10.0|681967254|43277696|1000415|3000|MX1|9999|3000|2025-03-21|2025-03-18|10.0|56561193.0|1000415|D920962001|13920962|1.0|2025-03-14|1.0|3000/2237453
4051571434|10935080|4538362900|1.0|2237453|Anchor HSL4-G M24 d32x230 30/-/-|3000|1|12.0|PC|PC|10.0|681967255|43277697|1000415|3000|MX1|9999|3000|2025-03-21|2025-03-18|10.0|56561193.0|1000415|D920962001|13920962|1.0|2025-03-14|1.0|3000/2237453
4051563735|10849145|4538307353|1.0|2105698|Gas can GC 42|8330|1|18.0|PC|PC|10.0|681923066|58310023|HLI0550|8300|L04|9999|8330|2025-03-24|2025-03-10|10.0|56486688.0|HLI0550|D754353001|13754353|1.0|2024-12-26|56.0|8300/2105698
4051563735|10849145|4538307354|1.0|2105698|Gas can GC 42|8330|1|18.0|PC|PC|10.0|681923068|58310024|HLI0550|8300|L04|9999|8330|2025-03-24|2025-03-10|10.0|56486688.0|HLI0550|D754353001|13754353|1.0|2024-12-26|56.0|8300/2105698
4051563735|10849145|4538307363|1.0|2105698|Gas can GC 42|8330|1|18.0|PC|PC|10.0|681923075|58310031|HLI0550|8300|L04|9999|8330|2025-03-24|2025-03-10|10.0|56486688.0|HLI0550|D754353001|13754353|1.0|2024-12-26|56.0|8300/2105698
4051563735|10849145|4538307364|1.0|2105698|Gas can GC 42|8330|1|18.0|PC|PC|10.0|681923076|58310032|HLI0550|8300|L04|9999|8330|2025-03-24|2025-03-10|10.0|56486688.0|HLI0550|D754353001|13754353|1.0|2024-12-26|56.0|8300/2105698
4051563735|10849145|4538307366|1.0|2105698|Gas can GC 42|8330|1|18.0|PC|PC|10.0|681923077|58310033|HLI0550|8300|L04|9999|8330|2025-03-24|2025-03-10|10.0|56486688.0|HLI0550|D754353001|13754353|1.0|2024-12-26|56.0|8300/2105698
4051563735|10849145|4538307368|1.0|2105698|Gas can GC 42|8330|1|18.0|PC|PC|10.0|681923080|58310158|HLI0550|8300|L04|9999|8330|2025-03-24|2025-03-10|10.0|56486688.0|HLI0550|D754353001|13754353|1.0|2024-12-26|56.0|8300/2105698
4051563735|10849145|4538307369|1.0|2105698|Gas can GC 42|8330|1|18.0|PC|PC|10.0|681923081|58310159|HLI0550|8300|L04|9999|8330|2025-03-24|2025-03-10|10.0|56486688.0|HLI0550|D754353001|13754353|1.0|2024-12-26|56.0|8300/2105698
4051563735|10849145|4538307370|1.0|2105698|Gas can GC 42|8330|1|18.0|PC|PC|10.0|681923082|58310160|HLI0550|8300|L04|9999|8330|2025-03-24|2025-03-10|10.0|56486688.0|HLI0550|D754353001|13754353|1.0|2024-12-26|56.0|8300/2105698
