SOrg|Plnt|Material|Material_number|X_Plant_Material_Status|MS|Gross_weight|WUn|Spart|ValidFrom|Minorder_qty|BUn|Orig|Web|FM_rel|Av|PGr|GRT|Typ|MRPCn|Minlot_size|BUn1|SPT|PDT|TABCD|XYZ|Pl|Safety_Stock|Rounding_val|BUn2|Rprofile|LS|Min_dely_qty|BUn3|key_material
8300|8330|3599526|Canivete SuiÁo|14|80|0.664|KG|nan|2018-06-15|1.0|PC|nan|nan|nan|ZC|BR1|0.0|ND|BR1|1.0|PC|20|0.0|D|Z|X|0.0|1|PC|Z004|nan|1.0|PC|8300/3599526
8300|8330|3599337|SCREWDRIVER SET (S-SDS VDE QC)|14|80|1.18|KG|nan|2018-06-13|1.0|PC|nan|nan|nan|ZC|BR1|0.0|ND|BR1|1.0|PC|20|0.0|D|Z|X|0.0|1|PC|Z004|nan|1.0|PC|8300/3599337
8300|8330|3599336|OUTDOOR SUN SPORTGLASSES|14|80|0.664|KG|nan|2018-06-13|1.0|PC|nan|nan|nan|ZC|BR1|0.0|ND|BR1|1.0|PC|20|0.0|D|Z|X|0.0|1|PC|Z004|nan|1.0|PC|8300/3599336
8300|8330|3481852|CREME LUVEX|14|40|1.0|G|nan|2020-12-09|1.0|PC|BR|nan|nan|ZC|BR1|20.0|ND|BR1|1.0|PC|20|30.0|D|N|nan|0.0|1|PC|Z004|nan|1.0|PC|8300/3481852
8300|8330|3627053|TE 60-A36+2 baterias 9.0A+Cargador 36v|14|80|35790.0|G|nan|2020-02-27|1.0|PC|CL|nan|F|ZC|L08|0.0|ND|L08|1.0|PC|05|0.0|D|Z|X|0.0|1|PC|Z004|PK|1.0|PC|8300/3627053
8300|8330|284814|Rail support DS-RF-L|14|40|1827.76|G|nan|2023-09-01|1.0|PC|nan|X|nan|ZZ|L12|20.0|X6|L12|0.0|PC|4C|0.0|D|N|X|0.0|0|PC|Z004|PK|1.0|PC|8300/284814
8300|8330|3806971|Plano de Negocio|14|52|1.0|G|nan|2022-06-01|1.0|PC|nan|nan|nan|ZC|L13|0.0|ND|L13|0.0|PC|05|20.0|D|N|nan|0.0|0|PC|Z004|nan|1.0|PC|8300/3806971
8300|8330|3709423|Ventilador de parede|14|0|0.0|G|nan|2020-12-22|1.0|PC|nan|nan|nan|ZC|BR1|0.0|ND|BR1|0.0|PC|nan|0.0|D|Z|nan|0.0|0|PC|Z004|nan|1.0|PC|8300/3709423
8300|8330|3806970|Plan de Negocio|14|52|1.0|G|nan|2022-06-01|1.0|PC|nan|nan|nan|ZC|L13|0.0|ND|L13|0.0|PC|05|20.0|D|N|nan|0.0|0|PC|Z004|nan|1.0|PC|8300/3806970
8300|8330|281711|Power conditioner DPC 20 230V|14|80|3450.0|G|nan|2022-05-11|1.0|PC|nan|nan|nan|ZC|L09|20.0|ND|L09|0.0|PC|4C|480.0|D|Z|X|0.0|0|PC|nan|PK|1.0|PC|8300/281711
8300|8330|3445898|Pallet - 80 cm x 1 m|14|80|15000.0|G|nan|2023-05-16|0.0|PC|nan|nan|nan|ZC|BR1|20.0|ND|BR1|0.0|PC|20|450.0|D|Z|X|0.0|0|PC|Z004|nan|0.0|PC|8300/3445898
8300|8330|3735114|ANULACAO DE CTE|14|40|1.0|G|nan|2021-05-19|1.0|PC|BR|nan|nan|ZR|BR1|20.0|ND|BR1|0.0|PC|nan|0.0|D|N|nan|0.0|0|PC|Z004|nan|1.0|PC|8300/3735114
8300|8330|2197168|Construction Layout premium|14|80|0.0|G|nan|2023-07-19|1.0|PC|nan|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|nan|10.0|D|Z|X|0.0|1|PC|Z004|nan|1.0|PC|8300/2197168
8300|8330|2230553|PROFIS Eng. Standard Single-User|14|80|0.0|G|nan|2024-06-10|1.0|PC|nan|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|N|X|0.0|1|PC|Z004|nan|1.0|PC|8300/2230553
8300|8330|2320259|E-learning silica compet. pers. team reg|14|0|0.0|KG|nan|2022-09-20|1.0|PC|nan|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|Z|nan|0.0|1|PC|Z004|EX|1.0|PC|8300/2320259
8300|8330|2320539|E-learning handheld saw team reg.|14|0|0.0|KG|nan|2022-09-20|1.0|PC|nan|nan|nan|nan|L13|0.0|ND|L13|0.0|PC|nan|0.0|D|Z|nan|0.0|0|PC|Z004|nan|1.0|PC|8300/2320539
