SOrg,Plnt,Material,Material_number,X_Plant_Material_Status,MS,Gross_weight,WUn,Spart,ValidFrom,Minorder_qty,BUn,Orig,Web,FM_rel,Av,PGr,GRT,Typ,MRPCn,Minlot_size,BUn1,SPT,PDT,TABCD,XYZ,Pl,Safety_Stock,Rounding_val,BUn2,Rprofile,LS,Min_dely_qty,BUn3,key_material
8650,8650,2251347,Battery pack B 22-55 Li-ion,14,33,600.0,G,nan,2023-04-19,1.0,PC,CN,X,F,ZC,L15,20.0,X0,L15,48.0,PC,U0,480.0,A,X,nan,130.0,16,PC,Z004,PK,1.0,PC,8650/2251347
8650,8650,2330922,"Pipe shoe MP-PS L1-1 21-26 1/2"" OC",14,40,1575.0,G,nan,2023-09-01,8.0,PC,CZ,X,nan,ZC,L06,20.0,X6,L06,8.0,PC,U0,480.0,D,N,nan,0.0,8,PC,Z004,PK,8.0,PC,8650/2330922
8650,8650,2330924,"Pipe shoe MP-PS L1-1 32-37 1"" OC",14,40,1625.0,G,nan,2023-09-01,8.0,PC,CZ,X,nan,ZC,L06,20.0,X6,L06,8.0,PC,U0,480.0,D,N,nan,0.0,8,PC,Z004,PK,8.0,PC,8650/2330924
8650,8650,2330979,"Pipe shoe MP-PS L2-2 59-65 2"" OC",14,40,3950.0,G,nan,2023-09-01,4.0,PC,CZ,X,nan,ZC,L06,20.0,X6,L06,4.0,PC,U0,480.0,D,N,nan,0.0,4,PC,Z004,PK,4.0,PC,8650/2330979
8650,8650,2331000,"Pipe shoe MP-PS M2-2 88-94 3"" OC",14,33,4900.0,G,nan,2023-01-11,2.0,PC,CZ,nan,nan,ZC,L06,20.0,X6,L06,2.0,PC,U0,480.0,D,Z,nan,0.0,2,PC,Z004,PK,2.0,PC,8650/2331000
8650,8650,278234,Retaining washer 5,14,80,0.2,G,X,2023-06-29,1.0,PC,GB,nan,nan,ZC,CL1,0.0,ND,CL1,1.0,PC,LJ,0.0,D,Z,X,0.0,1,PC,Z004,PK,1.0,PC,8650/278234
8650,8650,2334274,Injectable mortar HY 200-A V3 330/1/WH,14,40,669.8,G,nan,2023-09-01,25.0,PC,DE,nan,nan,ZC,L01,150.0,X6,L01,600.0,PC,46,430.0,D,N,nan,0.0,600,PC,Z004,PK,25.0,PC,8650/2334274
8650,8650,2334276,Injectable mortar HY 200-R V3 330/1/WH,14,40,670.0,G,nan,2023-09-01,25.0,PC,DE,nan,nan,ZC,L01,150.0,X6,L01,600.0,PC,46,430.0,D,N,nan,0.0,600,PC,Z004,PK,25.0,PC,8650/2334276
8650,8650,2315443,Cordl. circular saw SC 6ML-22 case,14,33,7000.0,G,nan,2023-12-26,1.0,PC,CN,X,F,ZC,L15,20.0,X5,L15,3.0,PC,U4,490.0,B,Y,nan,6.0,3,PC,Z004,PK,1.0,PC,8650/2315443
8650,8650,292918,"Hammer drill bit TE-YX 1""-36""",14,40,1638.0,G,nan,2023-09-22,1.0,PC,DE,X,nan,ZC,L09,20.0,X0,L09,16.0,PC,4C,500.0,A,X,nan,35.0,8,PC,Z004,PK,1.0,PC,8650/292918
