Material|Material_Description|SLoc|SL|Plnt|BUn|Unrestricted|Transit_Transf|Blocked|In_Qual_Insp|Restricted_Use|Returns|Stk_in_Transit|Sorg|key_material
730|Fastener guide 45/FL1 assy|6000.0|nan|8678|PC|1.0|0|0|0|0|0|0|8650|8650/730
854|Spacer|6000.0|nan|8678|PC|1.0|0|0|0|0|0|0|8650|8650/854
855|Stop ring|nan|nan|3000|PC|0.0|10|0|0|0|0|10|3000|3000/855
856|Retaining ring|nan|nan|3000|PC|0.0|10|0|0|0|0|10|3000|3000/856
856|Retaining ring|6000.0|nan|8678|PC|1.0|0|0|0|0|0|0|8650|8650/856
858|Leaf spring|nan|nan|3000|PC|0.0|10|0|0|0|0|10|3000|3000/858
882|Spares pack|nan|nan|3000|PC|0.0|10|0|0|0|0|10|3000|3000/882
1001|Silencer assy|6000.0|nan|3070|PC|1.0|0|0|0|0|0|0|3000|3000/1001
1005|Piston guide E72|6000.0|nan|8335|PC|4.0|0|0|0|0|0|0|8300|8300/1005
1011|Stop|6000.0|nan|3070|PC|4.0|0|0|0|0|0|0|3000|3000/1011
1025|Casing E72|6000.0|nan|3070|PC|1.0|0|0|0|0|0|0|3000|3000/1025
1046|Torx-soc re scr SN65 4X20|1000.0|nan|3070|PC|4.0|0|0|0|0|0|0|3000|3000/1046
1046|Torx-soc re scr SN65 4X20|2500.0|nan|3070|PC|14.0|0|0|0|0|0|0|3000|3000/1046
1046|Torx-soc re scr SN65 4X20|6000.0|nan|3070|PC|4.0|0|0|0|0|0|0|3000|3000/1046
1046|Torx-soc re scr SN65 4X20|2.0|nan|8335|PC|1.0|0|0|0|0|0|0|8300|8300/1046
1048|Torsion spring|6000.0|nan|3070|PC|1.0|0|0|0|0|0|0|3000|3000/1048
1054|Clevis pin|6000.0|nan|3070|PC|1.0|0|0|0|0|0|0|3000|3000/1054
1076|Compression spring 0,8X7,5X45|6000.0|nan|8335|PC|2.0|0|0|0|0|0|0|8300|8300/1076
1077|Spring pin 4X10|4500.0|nan|8770|PC|14.0|0|0|0|0|0|0|8750|8750/1077
1086|Fastener guide E72/F1|6000.0|nan|3070|PC|4.0|0|0|0|0|0|0|3000|3000/1086
1086|Fastener guide E72/F1|6000.0|nan|8335|PC|1.0|0|0|0|0|0|0|8300|8300/1086
1095|Stop ring|6000.0|nan|3070|PC|4.0|0|0|0|0|0|0|3000|3000/1095
1095|Stop ring|6000.0|nan|8335|PC|3.0|0|0|0|0|0|0|8300|8300/1095
1095|Stop ring|6000.0|nan|8770|PC|4.0|0|0|0|0|0|0|8750|8750/1095
1101|Spares pack O-RING|6000.0|nan|3070|PC|1.0|0|0|0|0|0|0|3000|3000/1101
1119|Spring pin 3X16|6000.0|nan|8678|PC|1.0|0|0|0|0|0|0|8650|8650/1119
1119|Spring pin 3X16|6000.0|nan|8770|PC|1.0|0|0|0|0|0|0|8750|8750/1119
1174|Compression spring 0,5x4,8x19|2.0|nan|8335|PC|1.0|0|0|0|0|0|0|8300|8300/1174
1952|Drill bit extension TE-FY-E35|1.0|nan|8750|PC|1.0|0|0|0|0|0|0|8750|8750/1952
1954|Drill bit extension TE-FY-E85|1.0|nan|8330|PC|1.0|0|0|0|0|0|0|8300|8300/1954
1954|Drill bit extension TE-FY-E85|1.0|nan|8650|PC|63.0|0|0|0|0|0|0|8650|8650/1954
1954|Drill bit extension TE-FY-E85|1.0|nan|8655|PC|1.0|0|0|0|0|0|0|8650|8650/1954
1954|Drill bit extension TE-FY-E85|1.0|nan|8663|PC|1.0|0|0|0|0|0|0|8650|8650/1954
1954|Drill bit extension TE-FY-E85|1.0|nan|8750|PC|4.0|0|0|0|0|0|0|8750|8750/1954
2181|Ball 6 G80|6000.0|nan|3070|PC|4.0|0|0|0|0|0|0|3000|3000/2181
2181|Ball 6 G80|50.0|nan|8326|PC|4.0|0|0|0|0|0|0|8300|8300/2181
2181|Ball 6 G80|2.0|nan|8335|PC|2.0|0|0|0|0|0|0|8300|8300/2181
2181|Ball 6 G80|6000.0|nan|8335|PC|12.0|0|0|0|0|0|0|8300|8300/2181
2181|Ball 6 G80|6000.0|nan|8678|PC|9.0|0|0|0|0|0|0|8650|8650/2181
2181|Ball 6 G80|1000.0|nan|8770|PC|2.0|0|0|0|0|0|0|8750|8750/2181
2181|Ball 6 G80|6000.0|nan|8770|PC|1.0|0|0|0|0|0|0|8750|8750/2181
2842|Laser receiver PMA 30|1.0|nan|3091|PC|1.0|0|0|0|0|0|0|3000|3000/2842
3009|Guard sleeve|6000.0|nan|3070|PC|3.0|0|0|0|0|0|0|3000|3000/3009
3009|Guard sleeve|50.0|nan|8326|PC|21.0|0|0|0|0|0|0|8300|8300/3009
3009|Guard sleeve|6000.0|nan|8335|PC|5.0|0|0|0|0|0|0|8300|8300/3009
3009|Guard sleeve|6000.0|nan|8678|PC|4.0|0|0|0|0|0|0|8650|8650/3009
3176|Torsion spring|6000.0|nan|8335|PC|4.0|0|0|0|0|0|0|8300|8300/3176
3700|Sleeve assy|6000.0|nan|8335|PC|4.0|0|0|0|0|0|0|8300|8300/3700
3700|Sleeve assy|6000.0|nan|8678|PC|2.0|0|0|0|0|0|0|8650|8650/3700
3700|Sleeve assy|6000.0|nan|8770|PC|1.0|0|0|0|0|0|0|8750|8750/3700
3701|Stop|6000.0|nan|3070|PC|6.0|0|0|0|0|0|0|3000|3000/3701
3701|Stop|50.0|nan|8326|PC|3.0|0|0|0|0|0|0|8300|8300/3701
3701|Stop|6000.0|nan|8335|PC|4.0|0|0|0|0|0|0|8300|8300/3701
3701|Stop|6000.0|nan|8678|PC|4.0|0|0|0|0|0|0|8650|8650/3701
3701|Stop|6000.0|nan|8770|PC|1.0|0|0|0|0|0|0|8750|8750/3701
3702|Annular spring|6000.0|nan|3070|PC|3.0|0|0|0|0|0|0|3000|3000/3702
3702|Annular spring|50.0|nan|8326|PC|29.0|0|0|0|0|0|0|8300|8300/3702
3702|Annular spring|2.0|nan|8335|PC|1.0|0|0|0|0|0|0|8300|8300/3702
3702|Annular spring|6000.0|nan|8335|PC|6.0|0|0|0|0|0|0|8300|8300/3702
3702|Annular spring|6000.0|nan|8678|PC|13.0|0|0|0|0|0|0|8650|8650/3702
3703|Ring|2.0|nan|8335|PC|3.0|0|0|0|0|0|0|8300|8300/3703
3703|Ring|6000.0|nan|8335|PC|1.0|0|0|0|0|0|0|8300|8300/3703
3703|Ring|6000.0|nan|8678|PC|1.0|0|0|0|0|0|0|8650|8650/3703
3704|Retaining ring|6000.0|nan|8678|PC|2.0|0|0|0|0|0|0|8650|8650/3704
3705|Housing|6000.0|nan|8335|PC|2.0|0|0|0|0|0|0|8300|8300/3705
