13.09.2024                                                                                                                                                                                                                           Dynamic List Display                                                                                                                                                                                                                                                                                    1


		Material	Material Description	Plnt	MS	Typ	Combo Ind	BO items	      GrpValue	Curr.	BO quan.	Avail. QTY	Alt.ATP	SU	Altern.?	MM note	BO Note	Foc.Cust	l.postp.	maxDlvDate	ResCount	maxiPDdel.	maxRDdelay	maxPDdelay	 RES QTY	  PO qty	Next PO	  PO qty	Deliv.date	TABCD	XYZ	 PDT	ProcType	SPT	lastResc	PDcount	MRPCn	Name

		2156391	High performance nail X-P 24 B3 MX BULK	3000	40	X0		      8	   21.863.276	CLP	221.000	-221.000		PC				X	11.09.2024	24.09.2024	     18	       19	       51	       19	108.000	300.000	4536903312	 24.000	19.08.2024	A	X	 60	F	4C	11.09.2024	     1	L04	Angie Vergara
		84294	Drywall screw 6x1-1/4" PBH S CRS	8650	40	X5		      1		CLP	175.000	-175.000		PC				X		30.11.2024						272.000	4537241037	 16.000	14.10.2024	D	Z	 56	F	90		     1	L10	Angie Vergara
		408257	Basket clip X-BC-C47 P8	8650	40	X0		      5	   11.128.143	CLP	117.000	-117.000		PC				X	10.09.2024	16.10.2024	      2	        3	       14	        3	219.000	405.000	4537080967	128.000	22.07.2024	T	X	 56	F	90	10.09.2024	     1	L04	Angie Vergara
		2210175	Ultimate exp anc KB-TZ2 1/4x3 1/4	8650	40	X0		      3	   26.767.440	CLP	 21.400	-21.400		PC				X	05.09.2024	25.10.2024	      5	       22	       26	       22		 52.000	4537272225	    800	04.09.2024	A	X	 42	F	4M	05.09.2024	     1	L02	Ana Sousa
		2042971	Sheet metal nail X-HSN 24	8750	40	Y1		      7	    2.678.601	CLP	 20.000	-19.000		PC						07.01.2025			       12		  3.000	  5.000	4537203272	  1.000	10.09.2024	D	Y	 62	F	4C		     1	L04	Angie Vergara
		228334	Conduit clip X-EMTC 3/8" MX	3000	40	X6		      1		CLP	 18.200	-18.200		PC				X	27.08.2024	20.10.2024	      6					 43.400	4536680903	  9.600	21.05.2024	B	Y	 58	F	U0	29.08.2024	     1	L04	Angie Vergara
		2123994	Concrete nail X-C 24 B3 MX	3000	33	X0		      3	    5.787.250	CLP	 18.000	-18.000		PC				X	04.09.2024	25.09.2024	      3	        4	       20	        4		530.000	4536904767	 96.000	19.08.2024	T	X	 58	F	U0	04.09.2024	     1	L04	Angie Vergara
		2241622	Hexagon nut NU-HX-M8 A4	3000	33	X6		      1	    1.687.833	CLP	 13.300	-13.300		PC				X	10.09.2024	25.09.2024	     25	        1	       52	        1	  8.000	 13.300	4537192944	 13.300	14.08.2024	D	Z	 62	F	20	10.09.2024	     1	L11	Reinaldo Vargas
		2241678	Washer WA-Ø16x1.6-M8 A4	3000	33	X6		      1	    1.073.767	CLP	 13.000	-13.000		PC				X	10.09.2024	25.09.2024	     25	        1	       52	        1	 13.000	 13.000	4537192944	 13.000	14.08.2024	D	N	 62	F	20	10.09.2024	     1	L11	Reinaldo Vargas
		2091382	Concrete nail X-C 32 P8 BULK	3000	40	X6		      2	    1.329.601	CLP	  9.000	-9.000		PC				X	13.09.2024	26.11.2024	     12	       25	       77	       25		  4.000	4536904770	  4.000	19.08.2024	D	Z	 58	F	U0	13.09.2024	     1	L04	Angie Vergara
		2210798	DX Cartridge 6.8/11 M10 yellow	3000	40	X0		      2	    3.383.622	CLP	 11.000	-9.000		PC				X	13.09.2024	10.10.2024	     26	       26	       40	       26						A	Y	 14	F	90	13.09.2024	     1	L04	Angie Vergara
		2346060	Threaded stud S-BT-MF M10/15 AN 6 HL	8750	40	X5		      5	   58.282.572	CLP	  8.700	-8.700		PC				X	04.09.2024	25.11.2024	     13	        3	       69	        3	  8.500	  7.100	4537203282	    200	10.09.2024	A	X	 62	F	4C	04.09.2024	     1	L10	Angie Vergara
		2241678	Washer WA-Ø16x1.6-M8 A4	8330	40	X0		      2	    2.687.954	CLP	 10.600	-8.467		PC				X		19.11.2024	      1		       59		  1.440	 10.158	4537038023	  3.000	15.07.2024	D	Y	 62	F	20	04.09.2024	     1	L11	Reinaldo Vargas
		2150367	Concrete nail X-P 27 P8	3000	60	X5		      4	    1.317.573	CLP	  9.000	-7.900		PC				X	13.09.2024	29.10.2024	     21	       19	       50	       19		 13.900	4536033135	  1.000	18.03.2024	C	X	 58	F	U0	13.09.2024	     1	L04	Angie Vergara
		413424	Self-drill screw S-MD03Z 6,3x32	3000	40	X6		      2	    1.642.916	CLP	  7.500	-7.500		PC				X	03.09.2024	13.11.2024	      9	       13	       62	       13		  7.500	4536983941	  2.500	02.09.2024	C	Z	 58	F	U0	03.09.2024	     1	L10	Angie Vergara
		271981	Threaded stud X-EM8H-15-12P8	8750	40	X5		      6	   15.804.349	CLP	  6.300	-6.300		PC				X	09.09.2024	22.11.2024	      6	        6	       62	        6	  4.000	  5.300	4537341064	  1.200	17.09.2024	A	X	 62	F	4C	10.09.2024	     1	L04	Angie Vergara
		2197995	Anchor rod HAS-E-55 5/8"x8"	3000	40	X0		     10	   64.567.335	CLP	  6.260	-6.260		PC				X	30.08.2024	25.09.2024	     16	        4	       38	        4	 12.080		13489119	 10.080	18.09.2024	A	X	 14	F	4M	30.08.2024	     1	L01	Ana Sousa
