27.03.2025			                                                                                                                                  Inbound deliveries per HAG invoices (extended 2)																													  1


		Doc. No.		Shipment	Purch.Doc.	 Item	Material	Material Description	Plnt	SLoc	    PO Quantity	OUn	OUn	  Item	Delivery	Reference	Supplier	POrg	PGr	Vendor	ShPt	Deliv.Date	Doc. Date	Ext. Order Pos	Ext. Order Number	Suppl.Vndr	TrackingNo	Reservation	Reservation item	Reservation order date	Diff.days

		4051575075		10953461	4538420001	00001	336428	Flush anchor HDI 5/8"	8750	0001	            50	PC	PC	000010	682011188	600010000068214	1051	8750	L02	9999	8750	11.04.2025	28.03.2025	0010	56543007	1051	D881687001	0013881687	            0001	26.02.2025	       5
		4051550437		10783030	4538020777	00001	2222545	Injectable mortar HIT-RE 100-HC 580/1	8330	0001	           288	PC	PC	000010	681694507	58279116	HLI0550	8300	L01	9999	8330	04.04.2025	20.01.2025	0020	56484199	HLI0550	D753008005	0013753008	            0005	00.00.0000	       0
		4051557544		10832397	4538137944	00001	2399578	Rotating laser PR 40-22	8650	0001	            16	PC	PC	000010	681788282	58297216	HLI0550	8650	CL1	9999	8650	31.03.2025	10.02.2025	0010	56514844	HLI0550	D819413001	0013819413	            0001	31.01.2025	       0
		4051557431		10832399	4538143107	00001	2143928	Guide rail SC GR-1400 2B kit	8750	0001	             1	PC	PC	000010	681792747	58296597	HLI0550	8750	L09	9999	8750	10.04.2025	11.02.2025	0010	56481236	HLI0550	D746135001	0013746135	            0001	18.12.2024	      28
		4051557474		10832275	4538143154	00001	2222545	Injectable mortar HIT-RE 100-HC 580/1	8330	0001	           288	PC	PC	000010	681792807	58296069	HLI0550	8300	L01	9999	8330	03.04.2025	10.02.2025	0010	56502930	HLI0550	D796970001	0013796970	            0001	20.01.2025	       0
		4051557477		10832277	4538143165	00001	2378314	Laser receiver PRA 20	8330	0001	             1	PC	PC	000010	681792811	58296043	HLI0550	8300	L07	9999	8330	03.04.2025	10.02.2025	0100	56515267	HLI0550	D820870011	0013820870	            0011	01.02.2025	       0
		4051561089		10855146	4538195900	00001	2156390	High performance nail X-P 20 B3 MX BULK	3000	0001	        36.000	PC	PC	000010	681834096	58304695	HLI0550	3000	MX1	9999	3000	12.05.2025	19.02.2025	0010	56524953	HLI0550	D845689001	0013845689	            0001	11.02.2025	       0
		4051562998		10869794	4538224340	00001	2273202	ON!Track smart tag AI T320	3000	0001	            20	PC	PC	000010	681856894	58309783	HLI0550	3000	MX1	9999	3000	07.04.2025	24.02.2025	0020	56535307	HLI0550	D866296002	0013866296	            0002	20.02.2025	       0
		4051565728		10888254	4538266996	00001	386341	Gas can GC 22 (ROW)	3000	0001	            20	PC	PC	000010	681890274	58316235	HLI0550	3000	MX1	9999	3000	28.04.2025	03.03.2025	0010	56535566	HLI0550	D866607003	0013866607	            0003	20.02.2025	       0
		4051567783		10911428	4538307159	00001	2341093	Hammer drill bit TE-CX 1/2"-12"	8650	0001	            20	PC	PC	000010	681922785	58320015	HLI0550	8650	CL1	9999	8650	06.05.2025	10.03.2025	0010	56545877	HLI0550	D886159001	0013886159	            0001	01.03.2025	       0
		4051567738		10911314	4538307151	00001	2378314	Laser receiver PRA 20	8330	0001	             1	PC	PC	000010	681922940	58318776	HLI0550	8300	L07	9999	8330	06.05.2025	10.03.2025	0020	56545878	HLI0550	D886157004	0013886157	            0004	01.03.2025	       0
		4051570430		10928730	4538346932	00001	2222545	Injectable mortar HIT-RE 100-HC 580/1	8330	0001	           288	PC	PC	000010	681954041	58324422	HLI0550	8300	L01	9999	8330	13.05.2025	17.03.2025	0020	56552807	HLI0550	D906325002	0013906325	            0002	08.03.2025	       0
		4051570432		10929433	4538346941	00001	2264046	Laser receiver PMA 32	8330	0001	             6	PC	PC	000010	681954050	58324997	HLI0550	8300	L07	9999	8330	13.05.2025	17.03.2025	0050	56554625	HLI0550	D910434010	0013910434	            0010	11.03.2025	       0
		4051571313		10935230	4538359330	00001	2105698	Gas can GC 42	8650	0001	            18	PC	PC	000010	681963937	58328525	HLI0550	8650	CL1	9999	8650	28.04.2025	18.03.2025	0010	56554845	HLI0550	D911607005	0013911607	            0005	11.03.2025	       7
		4051571313		10935230	4538359331	00001	2105698	Gas can GC 42	8650	0001	            18	PC	PC	000010	681963938	58328526	HLI0550	8650	CL1	9999	8650	28.04.2025	18.03.2025	0010	56554845	HLI0550	D911607005	0013911607	            0005	11.03.2025	       7
		4051571313		10935230	4538359332	00001	2105698	Gas can GC 42	8650	0001	            18	PC	PC	000010	681963939	58328527	HLI0550	8650	CL1	9999	8650	28.04.2025	18.03.2025	0010	56554845	HLI0550	D911607005	0013911607	            0005	11.03.2025	       7
		4051571313		10935230	4538359333	00001	2105698	Gas can GC 42	8650	0001	            18	PC	PC	000010	681963940	58328528	HLI0550	8650	CL1	9999	8650	28.04.2025	18.03.2025	0010	56554845	HLI0550	D911607005	0013911607	            0005	11.03.2025	       7
		4051571313		10935230	4538359335	00001	2105698	Gas can GC 42	8650	0001	            18	PC	PC	000010	681963941	58328529	HLI0550	8650	CL1	9999	8650	28.04.2025	18.03.2025	0010	56554845	HLI0550	D911607005	0013911607	            0005	11.03.2025	       7
		4051571313		10935230	4538359336	00001	2105698	Gas can GC 42	8650	0001	            18	PC	PC	000010	681963942	58328530	HLI0550	8650	CL1	9999	8650	28.04.2025	18.03.2025	0010	56554845	HLI0550	D911607005	0013911607	            0005	11.03.2025	       7
		4051571313		10935230	4538359337	00001	2105698	Gas can GC 42	8650	0001	            18	PC	PC	000010	681963943	58328531	HLI0550	8650	CL1	9999	8650	28.04.2025	18.03.2025	0010	56554845	HLI0550	D911607005	0013911607	            0005	11.03.2025	       7
