26.03.2025				                                                                                                                          List complete material master																																  1


		SOrg.	Plnt		Material	Material number	X-Plant Material Status	MS	   Gross weight	WUn	Spart	ValidFrom	Min.order qty	BUn	Orig	Web	FM rel.	Av	PGr	GRT	Typ	MRPCn	  Min.lot size	BUn	SPT	 PDT	TABCD	XYZ	Pl	   Safety Stock	 Rounding val.	BUn	R.profile	LS	Min. dely qty		BUn

		8300	8330		3599526	Canivete Suiço	14	80	         0,664	KG		15.06.2018	           1	PC				ZC	BR1	 0	ND	BR1	            1	PC	20	  0	D	Z	X	             0	            1	PC	Z004		           1		PC
		8300	8330		3599337	SCREWDRIVER SET (S-SDS VDE QC)	14	80	         1,180	KG		13.06.2018	           1	PC				ZC	BR1	 0	ND	BR1	            1	PC	20	  0	D	Z	X	             0	            1	PC	Z004		           1		PC
		8300	8330		3599336	OUTDOOR SUN SPORTGLASSES	14	80	         0,664	KG		13.06.2018	           1	PC				ZC	BR1	 0	ND	BR1	            1	PC	20	  0	D	Z	X	             0	            1	PC	Z004		           1		PC
		8300	8330		2403894	Comfort side handle TE SH-B (M)	14	33	           580	G		04.10.2024	           1	PC		X		ZC		 1	X6	L08	            1	PC	4C	 46	B	Z		             0	            1	PC	Z004	PK	           1		PC
		8300	8330		3952653	Fita intumescente em rolo CFS-W P	14	40	         1.510	G		19.09.2024	           1	PC	BR	X		ZC	L03	 2	X0	L03	            1	PC	20	 15	D	N		             0	            1	PC	Z004	PK	           1		PC
		8300	8330		3481852	CREME LUVEX	14	40	             1	G		09.12.2020	           1	PC	BR			ZC	BR1	 2	ND	BR1	            1	PC	20	  3	D	N		             0	            1	PC	Z004		           1		PC
		8300	8330		3627053	TE 60-A36+2 baterias 9.0A+Cargador 36v	14	80	        35.790	G		27.02.2020	           1	PC	CL		F	ZC	L08	 0	ND	L08	            1	PC	05	  0	D	Z	X	             0	            1	PC	Z004	PK	           1		PC
		8300	8330		3806971	Plano de Negocio	14	52	             1	G		01.06.2022	           1	PC				ZC	L13	 0	ND	L13	            0	PC	05	  2	D	N		             0	            0	PC	Z004		           1		PC
		8300	8330		3806970	Plan de Negocio	14	52	             1	G		01.06.2022	           1	PC				ZC	L13	 0	ND	L13	            0	PC	05	  2	D	N		             0	            0	PC	Z004		           1		PC
		8300	8330		3709423	Ventilador de parede	14		             0	G		22.12.2020	           1	PC				ZC	BR1	 0	ND	BR1	            0	PC		  0	D	Z		             0	            0	PC	Z004		           1		PC
		8300	8330		3735114	ANULACAO DE CTE	14	40	             1	G		19.05.2021	           1	PC	BR			ZR	BR1	 2	ND	BR1	            0	PC		  0	D	N		             0	            0	PC	Z004		           1		PC
		8300	8330		3445898	Pallet - 80 cm x 1 m	14	80	        15.000	G		16.05.2023	           0	PC				ZC	BR1	 2	ND	BR1	            0	PC	20	 45	D	Z	X	             0	            0	PC	Z004		           0		PC
		8300	8330		281711	Power conditioner DPC 20 230V	14	80	         3.450	G		11.05.2022	           1	PC				ZC	L09	 2	ND	L09	            0	PC	4C	 48	D	Z	X	             0	            0	PC		PK	           1		PC
		8300	8330		2197168	Construction Layout premium	14	80	             0	G		19.07.2023	           1	PC					L13	 0	ND	L13	            1	PC		  1	D	Z	X	             0	            1	PC	Z004		           1		PC
		8300	8330		2230553	PROFIS Eng. Standard Single-User	16	80	             0	G		10.06.2024	           1	PC					L13	 0	ND	L13	            1	PC	20	  1	D	N	X	             0	            1	PC	Z004		           1		PC
		8300	8330		2106716	Kitting service	14		             0	G		14.08.2019	           1	PC						 0			            0	PC		  0				             0	            0	PC	Z004		           1		PC
		8300	8330		3769346	AVALIACAO DE BENS E SERVICOS	14		             0	G		11.11.2021	           1	PC						 0			            0	PC		  0				             0	            0	PC	Z001		           1		PC
		8300	8330		2320259	E-learning silica compet. pers. team reg	14		             0	KG		20.09.2022	           1	PC					L13	 0	ND	L13	            1	PC	20	  1	D	Z		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		2347987	IDS - Output	14		             0	KG		13.07.2022	       0,000	H					L13	 0	ND	L13	        0,000	H		  0	D	Z	X	         0,000	        0,000	H	Z004		       0,000		H
		8300	8330		2347985	IDS - Design specifics	14		             0	KG		13.07.2022	       0,000	H					L13	 0	ND	L13	        0,000	H		  0	D	Z	X	         0,000	        0,000	H	Z004		       0,000		H
		8300	8330		2347983	IDS - Collaboration	14		             0	KG		13.07.2022	       0,000	H					L13	 0	ND	L13	        0,000	H		  0	D	Z	X	         0,000	        0,000	H	Z004		       0,000		H
		8300	8330		2347982	IDS - Framework	14		             0	KG		13.07.2022	       0,000	H					L13	 0	ND	L13	        0,000	H		  0	D	Z	X	         0,000	        0,000	H	Z004		       0,000		H
		8300	8330		2331243	E-learning all H+S courses team reg.	14		             0	KG		20.09.2022	           1	PC					L13	 0	ND	L13	            0	PC		  0	D	Z		             0	            0	PC	Z004		           1		PC
		8300	8330		2320544	E-learning dust awareness team reg.	14		             0	KG		20.09.2022	           1	PC					L13	 0	ND	L13	            0	PC		  0	D	Z		             0	            0	PC	Z004		           1		PC
		8300	8330		2320539	E-learning handheld saw team reg.	14		             0	KG		20.09.2022	           1	PC					L13	 0	ND	L13	            0	PC		  0	D	Z		             0	            0	PC	Z004		           1		PC
		8300	8330		3709412	Anulação de VL ref. serv. de transportes	14	40	             0	G		22.12.2020	           1	PC					BR1	 0	ND	BR1	            0	PC		  0	D	N		             0	            0	PC	Z001		           1		PC
		8300	8330		2301805	E-learning basic	14	40	             0	G		01.09.2023	           1	PC					L13	 0	ND	L13	            1	PC	20	  1	D	N		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		2301807	E-learning flying sparks	14	40	             0	G		01.09.2023	           1	PC					L13	 0	ND	L13	            1	PC	20	  1	D	N		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		2301808	E-learning drilling + demol	14	40	             0	G		01.09.2023	           1	PC					L13	 0	ND	L13	            1	PC	20	  1	D	N		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		2301809	E-learning chem product	14	40	             0	G		01.09.2023	           1	PC					L13	 0	ND	L13	            1	PC	20	  1	D	N		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		2302100	E-learning dust	14	40	             0	G		01.09.2023	           1	PC					L13	 0	ND	L13	            1	PC	20	  1	D	N		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		2302101	E-learning vibration	14	40	             0	G		01.09.2023	           1	PC					L13	 0	ND	L13	            1	PC	20	  1	D	N		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		2302102	E-learning cut-off saw	14	40	             0	G		01.09.2023	           1	PC					L13	 0	ND	L13	            1	PC	20	  1	D	N		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		2320258	E-learning basic team reg.	14	40	             0	KG		01.09.2023	           1	PC					L13	 0	ND	L13	            1	PC	20	  1	D	N		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		2320531	E-learning vibration team reg.	14	40	             0	KG		01.09.2023	           1	PC					L13	 0	ND	L13	            1	PC	20	  1	D	N		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		2320535	E-learning cut-off saw team reg.	14	40	             0	KG		01.09.2023	           1	PC					L13	 0	ND	L13	            1	PC	20	  1	D	N		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		2320538	E-learning drilling+demol team reg.	14	40	             0	KG		01.09.2023	           1	PC					L13	 0	ND	L13	            1	PC	20	  1	D	N		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		2320540	E-learning flying sparks team reg.	14	40	             0	KG		01.09.2023	           1	PC					L13	 0	ND	L13	            1	PC	20	  1	D	N		             0	            1	PC	Z004	EX	           1		PC
