13.09.2024                                                        Dynamic List Display                                                                                                                  1


		CoCd	Plnt	Material	SLoc	MvT	Mat. Doc.	Item	Pstng Date	  Qty in UnE	EUn	Material Description	PO	Movement Type Text	  Amount in LC	Quantity	Supplier	Rec	Mvt	Counter	TETy

		5241	8690	1954		101	5066408042	   1	24.05.2024	          1	PC	Drill bit extension TE-FY-E85	4536770435	GR st.in tr:ac.assg.	            0	      1		X	B		WE
		5241	8690	1954		101	5065852360	   1	28.03.2024	          1	PC	Drill bit extension TE-FY-E85	4536457630	GR st.in tr:ac.assg.	            0	      1		X	B		WE
		5241	8690	1954		101	5065091524	   1	16.01.2024	          1	PC	Drill bit extension TE-FY-E85	4536029679	GR st.in tr:ac.assg.	            0	      1		X	B		WE
		5211	8790	1954	8733	101	5065415871	   1	16.02.2024	          1	PC	Drill bit extension TE-FY-E85	4536211178	GR stock in transit	         0,00	      1		X	B		WE
		5211	8790	7743		101	5065307627	   1	06.02.2024	          1	PC	Marking character X-MC S 8/10 0-9 set	4536139920	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5211	8790	7744		101	5065307628	   1	06.02.2024	          1	PC	Marking character X-MC S 8/10 A-Z set	4536139920	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5241	8690	20039		101	5067154794	   1	12.08.2024	         50	PC	Threaded stud HDC 20	4537184721	GR st.in tr:ac.assg.	            0	     50		X	B		WE
		5241	8690	24631		101	5067269212	   1	26.08.2024	          1	PC	Cleaner CFR1 500ML	4537255585	GR st.in tr:ac.assg.	            0	      1		X	B		WE
		5241	8690	24631		101	5067155326	   1	12.08.2024	          1	PC	Cleaner CFR1 500ML	4537184721	GR st.in tr:ac.assg.	            0	      1		X	B		WE
		5241	8690	24631		101	5066089029	   1	22.04.2024	          1	PC	Cleaner CFR1 500ML	4536593798	GR st.in tr:ac.assg.	            0	      1		X	B		WE
		5241	8690	24631		101	5066017668	   1	15.04.2024	          1	PC	Cleaner CFR1 500ML	4536551977	GR st.in tr:ac.assg.	            0	      1		X	B		WE
		5241	8690	24631		101	5065704932	   1	14.03.2024	          1	PC	Cleaner CFR1 500ML	4536377509	GR st.in tr:ac.assg.	            0	      1		X	B		WE
		5241	8690	24631		101	5065220994	   1	29.01.2024	          1	PC	Cleaner CFR1 500ML	4536093986	GR st.in tr:ac.assg.	            0	      1		X	B		WE
		5241	8690	24631		101	5065220987	   1	29.01.2024	          1	PC	Cleaner CFR1 500ML	4536099605	GR st.in tr:ac.assg.	            0	      1		X	B		WE
		5251	3090	24669		101	5065432052	   1	19.02.2024	          1	PC	Dispenser CS 270-P1	4536202937	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5241	8690	24669		101	5066584824	   1	12.06.2024	          1	PC	Dispenser CS 270-P1	4536863146	GR st.in tr:ac.assg.	            0	      1		X	B		WE
		5251	3090	32220	0101	101	5066947664	   1	18.07.2024	          1	PC	Insert shaft TE-C 1/2	4537064984	GR stock in transit	         0,00	      1		X	B		WE
		5251	3090	32978		101	5067375616	   1	05.09.2024	          1	PC	Setting tool HAND 1/4"	4537309586	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	32979		101	5067375614	   1	05.09.2024	          1	PC	Setting tool HAND 3/8"	4537309586	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	32979	0218	101	5065844589	   1	28.03.2024	          1	PC	Setting tool HAND 3/8"	4536363970	GR stock in transit	         0,00	      1		X	B		WE
		5251	3090	32980		101	5066807655	   1	03.07.2024	          1	PC	Setting tool HAND 1/2"	4536950358	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	32980		101	5066502827	   1	04.06.2024	          1	PC	Setting tool HAND 1/2"	4536822404	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	32980		101	5065917552	   1	04.04.2024	          1	PC	Setting tool HAND 1/2"	4536466442	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	32980		101	5065760450	   1	20.03.2024	          1	PC	Setting tool HAND 1/2"	4536403571	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	32980		101	5065432054	   1	19.02.2024	          1	PC	Setting tool HAND 1/2"	4536202937	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	32980		101	5065352099	   1	10.02.2024	          1	PC	Setting tool HAND 1/2"	4536158113	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	32981	0171	101	5066846041	   1	08.07.2024	          1	PC	Setting tool HAND 5/8"	4537009950	GR stock in transit	         0,00	      1		X	B		WE
		5251	3090	32981		101	5066637322	   1	17.06.2024	          1	PC	Setting tool HAND 5/8"	4536892832	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	38249		101	5066214081	   1	03.05.2024	          1	PC	Extension hose HIT-VL 16 (10m)	4536655169	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
