13.09.2024                                                                 Dynamic List Display                                                                                                                           1


	POrg	Plnt	SLoc	Material	Type	Doc. Date	Supplier	Pur. Doc.	Quantity	OUn	Quantity	SKU	PGr	     Net Price	Crcy	    Per	  To be del.	       To be del.	  To be inv.	       To be inv.

	8300	8330	0001	2203491	NB	13.09.2024	9999       HILTI	4537359685	  3.000	M	  3.000	M	L11	        48,84	USD	     1	      3.000	      146.520,00	          0	            0,00
	8300	8330	0001	2203546	NB	13.09.2024	9999       HILTI	4537359687	 25.250	PC	 25.250	PC	L11	        31,47	USD	   100	     25.250	        7.946,18	          0	            0,00
	8300	8330	0001	2208751	NB	13.09.2024	9999       HILTI	4537359689	 62.350	PC	 62.350	PC	L11	         7,34	USD	    10	     62.350	       45.764,90	          0	            0,00
	8300	8330	0001	2238428	NB	13.09.2024	9999       HILTI	4537359691	  1.500	PC	  1.500	PC	L11	        33,71	USD	     1	      1.500	       50.565,00	          0	            0,00
	8300	8330	0001	2203491	NB	13.09.2024	9999       HILTI	4537359693	    690	M	    690	M	L11	        48,84	USD	     1	        690	       33.699,60	          0	            0,00
	8300	8330	0001	2203495	NB	13.09.2024	9999       HILTI	4537359695	     39	M	     39	M	L11	        95,87	USD	     1	         39	        3.738,93	          0	            0,00
	8300	8330	0001	2203504	NB	13.09.2024	9999       HILTI	4537359696	    158	PC	    158	PC	L11	         5,10	USD	     1	        158	          805,80	          0	            0,00
	8300	8330	0001	2203546	NB	13.09.2024	9999       HILTI	4537359698	  1.374	PC	  1.374	PC	L11	        31,47	USD	   100	      1.374	          432,40	          0	            0,00
	8300	8330	0001	2205247	NB	13.09.2024	9999       HILTI	4537359700	    600	PC	    600	PC	L11	        22,17	USD	   100	        600	          133,02	          0	            0,00
	8300	8330	0001	2208751	NB	13.09.2024	9999       HILTI	4537359702	  5.100	PC	  5.100	PC	L11	         7,34	USD	    10	      5.100	        3.743,40	          0	            0,00
	8300	8330	0001	2216386	NB	13.09.2024	9999       HILTI	4537359703	    149	PC	    149	PC	L11	        16,19	USD	     1	        149	        2.412,31	          0	            0,00
	8300	8330	0001	2216392	NB	13.09.2024	9999       HILTI	4537359705	      5	PC	      5	PC	L11	        29,00	USD	     1	          5	          145,00	          0	            0,00
	8300	8330	0001	2216424	NB	13.09.2024	9999       HILTI	4537359707	     32	PC	     32	PC	L11	        25,76	USD	     1	         32	          824,32	          0	            0,00
	8300	8330	0001	2226740	NB	13.09.2024	9999       HILTI	4537359709	     22	PC	     22	PC	L11	       105,27	USD	     1	         22	        2.315,94	          0	            0,00
	8300	8330	0001	2342673	NB	13.09.2024	9999       HILTI	4537360192	     37	PC	     37	PC	L11	       191,12	USD	     1	         37	        7.071,44	          0	            0,00
	8300	8330	0001	2203504	NB	13.09.2024	9999       HILTI	4537360193	     37	PC	     37	PC	L11	         5,10	USD	     1	         37	          188,70	          0	            0,00
	8300	8330	0001	2205247	NB	13.09.2024	9999       HILTI	4537360194	    300	PC	    300	PC	L11	        22,17	USD	   100	        300	           66,51	          0	            0,00
