
	Material	Material Description	SLoc	SL	Plnt	BUn	   Unrestricted	Transit/Transf.	        Blocked	 In Qual. Insp.	 Restricted-Use	        Returns	 Stk in Transit

	1953	Drill bit extension TE-FY-E60	0001		3000	PC	             2	             0	             0	             0	             0	             0	             0
	1954	Drill bit extension TE-FY-E85	0001		8750	PC	             6	             0	             0	             0	             0	             0	             0
	3730	Piston ring	0001		3000	PC	             1	             0	             0	             0	             0	             0	             0
	7743	Marking character X-MC S 8/10 0-9	0001		3000	PC	             1	             0	             0	             0	             0	             0	             0
	24631	Cleaner CFR1 500ML	0001		3000	PC	             5	             0	             5	             0	             0	             0	             0
	24669	Dispenser CS 270-P1	0001		3000	PC	            27	             0	             0	             0	             0	             0	             0
	24669	Dispenser CS 270-P1	0001		3002	PC	             1	             0	             0	             0	             0	             0	             0
	24669	Dispenser CS 270-P1	0001		3022	PC	             1	             0	             0	             0	             0	             0	             0
	24669	Dispenser CS 270-P1	0001		8750	PC	            13	             0	             0	             0	             0	             0	             0
	26010	Piston pin	0001		3000	PC	             4	             0	             0	             0	             0	             0	             0
	26582	Grating disc X-FCM 25/30	0001		8750	PC	           100	             0	             0	             0	             0	             0	             0
	28367	Bell-shaped bit TE-Y GB 80/63-3 1/	0001		8750	PC	             1	             0	             0	             0	             0	             0	             0
	32220	Insert shaft TE-C 1/2	0001		3000	PC	             7	             0	             0	             0	             0	             0	             0
	32220	Insert shaft TE-C 1/2	0001		3016	PC	             1	             0	             0	             0	             0	             0	             0
	32220	Insert shaft TE-C 1/2	0001		3018	PC	             2	             0	             0	             0	             0	             0	             0
	32220	Insert shaft TE-C 1/2	0001		3022	PC	             2	             0	             0	             0	             0	             0	             0
	32221	Insert shaft TE-FY 3/4	0001		3000	PC	             2	             0	             0	             0	             0	             0	             0
	32221	Insert shaft TE-FY 3/4	0001		3010	PC	             1	             0	             0	             0	             0	             0	             0
	32221	Insert shaft TE-FY 3/4	0001		3014	PC	             1	             0	             0	             0	             0	             0	             0
	32978	Setting tool HAND 1/4"	0001		3000	PC	            18	             0	             0	             0	             0	             0	             0
	32978	Setting tool HAND 1/4"	0001		3010	PC	             1	             0	             0	             0	             0	             0	             0
	32978	Setting tool HAND 1/4"	0001		3014	PC	             4	             0	             0	             0	             0	             0	             0
	32978	Setting tool HAND 1/4"	0001	X	3022	PC	             1	             0	             0	             0	             0	             0	             0
	32979	Setting tool HAND 3/8"	0001		3000	PC	             8	             0	             0	             0	             0	             0	             0
	32979	Setting tool HAND 3/8"	0001		3018	PC	             2	             0	             0	             0	             0	             0	             0
	32979	Setting tool HAND 3/8"	0001		3022	PC	             2	             0	             0	             0	             0	             0	             0
	32980	Setting tool HAND 1/2"	0001		3000	PC	            29	             0	             0	             0	             0	             0	             0
	32980	Setting tool HAND 1/2"	0001		3010	PC	             2	             0	             0	             0	             0	             0	             0
	32980	Setting tool HAND 1/2"			3014	PC	             0	             3	             0	             0	             0	             0	             3
	32980	Setting tool HAND 1/2"	0001		3014	PC	             1	             0	             0	             0	             0	             0	             0
	32980	Setting tool HAND 1/2"	0001		3016	PC	             1	             0	             0	             0	             0	             0	             0
	32980	Setting tool HAND 1/2"	0001		3018	PC	             2	             0	             0	             0	             0	             0	             0
