13.09.2024                          Dynamic List Display                                                                                   1


	ShPt	Plnt	SLoc	Delivery	Material	Item Description	 Dlv.Qty	BUn	Supplier Name	OPS	WM	GM	Deliv.date

	8750	8750	0001	681152500	1749	Pinza de montaje KNIPEX	      6	PC	HILTI			A	08.10.2024
	3000	3000	0001	680979490	1953	Prolongación de broca TE-FY-E60	      6	PC	HILTI			A	02.10.2024
	3000	3000	0001	681150410	1953	Prolongación de broca TE-FY-E60	      4	PC	HILTI			A	06.11.2024
	8650	8650	0001	681047863	1954	Prolongación de broca TE-FY-E85	     30	PC	HILTI			A	30.09.2024
	3000	3000	0001	681150418	1954	Prolongación de broca TE-FY-E85	      4	PC	HILTI			A	06.11.2024
	8330	8330	0001	680907560	3739	Clip de mola	     90	PC	HILTI			A	11.09.2024
	8330	8330	0001	680937969	3739	Clip de mola	     90	PC	HILTI			A	25.09.2024
	8650	8650	0001	680995987	3739	Estribo de resorte	     40	PC	HILTI			A	23.09.2024
	8650	8650	0001	681047854	3739	Estribo de resorte	     40	PC	HILTI			A	30.09.2024
	3000	3000	0001	680859329	3769	Bolsa de repuestos	      4	PC	HILTI			A	17.09.2024
	3000	3000	0001	680920046	3769	Bolsa de repuestos	      3	PC	HILTI			A	24.09.2024
	8330	8330	0001	681107364	3994	Cola LOCTITE 243 50CCM	      1	PC	HILTI			A	13.09.2024
	8750	8750	0001	681048714	7743	Carácter marc. X-MC S 8/10 0-9 juego	      1	PC	HILTI			A	16.10.2024
	8750	8750	0001	681048714	7743	Carácter marc. X-MC S 8/10 0-9 juego	      1	PC	HILTI			A	16.10.2024
	8330	8330	0001	681137056	9862	Adapt. broca coroa DD-BI 1 1/4-7 UNC cpl	      1	PC	HILTI			A	29.10.2024
	8650	8650	0001	206240480	20039	Perno roscado HDC 20	    150	PC	HILTI			A	29.03.2024
	8650	8650	0001	206240480	20039	Perno roscado HDC 20	     50	PC	HILTI			A	29.03.2024
	8650	8650	0001	206240480	20040	Perno roscado HDB 27	    150	PC	HILTI			A	29.03.2024
	3000	3000	0001	680859329	24669	Aplicador CS 270-P1	      7	PC	HILTI			A	17.09.2024
	8330	8330	0001	680967150	24669	Dispensador CS 270-P1	     10	PC	HILTI			A	17.09.2024
	8330	8330	0001	680967151	24669	Dispensador CS 270-P1	      5	PC	HILTI			A	17.09.2024
	3000	3000	0001	680979490	24669	Aplicador CS 270-P1	      7	PC	HILTI			A	02.10.2024
	3000	3000	0001	680792672	32220	Vástago para insertar TE-C 1/2	      5	PC	HILTI			A	13.09.2024
	8330	8330	0001	681047914	32979	Ferr. de instalação HAND 3/8"	     25	PC	HILTI			A	08.10.2024
	8330	8330	0001	680810684	32980	Ferr. de instalação HAND 1/2"	     25	PC	HILTI			A	25.09.2024
	3000	3000	0001	680792650	41503	Clavo universal X-ENK 16 S12	  1.100	PC	HILTI			A	13.09.2024
	3000	3000	0001	681035822	41503	Clavo universal X-ENK 16 S12	    400	PC	HILTI			A	09.10.2024
	8650	8650	0001	681106399	45455	Taco para andamio GD 14/100	  1.200	PC	HILTI			A	14.10.2024
	8650	8650	0001	681106417	45455	Taco para andamio GD 14/100	    600	PC	HILTI			A	14.10.2024
	3000	3000	0001	680859329	47362	Husillo de sujeción DD-1/2" embal.	      1	PC	HILTI			A	17.09.2024
	3000	3000	0001	205435050	50373	DX cartucho 6.8/11 M BULK rojo	 10.000	PC	HILTI			A	01.10.2024
	3000	3000	0001	205435052	50373	DX cartucho 6.8/11 M BULK rojo	 10.000	PC	HILTI			A	01.10.2024
	3000	3000	0001	205435054	50373	DX cartucho 6.8/11 M BULK rojo	 10.000	PC	HILTI			A	01.10.2024
	3000	3000	0001	205435055	50373	DX cartucho 6.8/11 M BULK rojo	 10.000	PC	HILTI			A	01.10.2024
	3000	3000	0001	205435057	50373	DX cartucho 6.8/11 M BULK rojo	 10.000	PC	HILTI			A	01.10.2024
	3000	3000	0001	205435058	50373	DX cartucho 6.8/11 M BULK rojo	 10.000	PC	HILTI			A	01.10.2024
	3000	3000	0001	205435060	50373	DX cartucho 6.8/11 M BULK rojo	 10.000	PC	HILTI			A	01.10.2024
	3000	3000	0001	205435061	50373	DX cartucho 6.8/11 M BULK rojo	 10.000	PC	HILTI			A	01.10.2024
	3000	3000	0001	205435063	50373	DX cartucho 6.8/11 M BULK rojo	 10.000	PC	HILTI			A	01.10.2024
	3000	3000	0001	205435064	50373	DX cartucho 6.8/11 M BULK rojo	 10.000	PC	HILTI			A	01.10.2024
	8650	8650	0001	680996009	56419	Tornillo para andamio GRS 12/120	    600	PC	HILTI			A	23.09.2024
	8330	8330	0001	681077352	58706	Varão roscado AM8x3000 A4-70	     20	PC	HILTI			A	15.10.2024
	3000	3000	0001	680793808	60579	Bombín de limpieza	     50	PC	HILTI			A	13.09.2024
	8330	8330	0001	680908215	60579	Fole de limpeza	     20	PC	HILTI			A	12.09.2024
	3000	3000	0001	681075282	60579	Bombín de limpieza	      1	PC				A	20.10.2024
	8650	8650	0001	681105455	60579	Bombín de limpieza	     10	PC	HILTI			A	14.10.2024
	3000	3000	0001	680745911	61466	Masonry drill bit TM 3/16"-6"	      5	PC	HILTI INC.			A	15.10.2024
	3000	3000	0001	681154878	61470	Masonry drill bit TM 1/4"-6"	      1	PC	HILTI INC.			A	15.10.2024
	3000	3000	0001	680745911	61477	Masonry drill bit TM 3/8"-6"	      1	PC	HILTI INC.			A	15.10.2024
	3000	3000	0001	681154878	61477	Masonry drill bit TM 3/8"-6"	     12	PC	HILTI INC.			A	15.10.2024
	3000	3000	0001	680859329	74068	Adaptador TE-FY-BA-C cpl	      1	PC	HILTI			A	17.09.2024
	3000	3000	0001	680920046	74068	Adaptador TE-FY-BA-C cpl	      8	PC	HILTI			A	24.09.2024
	8650	8650	0001	680961634	84291	Tor. tabique seco 6x1-1/4" PBH S	504.000	PC	HILTI			A	07.10.2024
	8650	8650	0001	681128482	84291	Tor. tabique seco 6x1-1/4" PBH S	504.000	PC	HILTI			A	13.11.2024
	8650	8650	0001	681068129	84294	Tor. tabique seco 6x1-1/4" PBH S CRS	 16.000	PC	HILTI			A	13.11.2024
	8650	8650	0001	681128482	84294	Tor. tabique seco 6x1-1/4" PBH S CRS	256.000	PC	HILTI			A	13.11.2024
	8650	8650	0001	680961634	86215	Tor. tabique seco 6x1 1/4" PBH SD ZN	224.000	PC	HILTI			A	07.10.2024
	8650	8650	0001	681038426	86217	Tor. tabique seco 6x1 5/8" PBH SD ZN	240.000	PC	HILTI			A	23.10.2024
	3000	3000	0001	681088062	93932	Llave frontal con pitones B35	      5	PC	HILTI			A	23.10.2024
	3000	3000	0001	681088761	202342	Anclaje marcos HRD-C 8x80	     50	PC	HILTI			A	23.10.2024
	3000	3000	0001	680920046	202900	Prolongación broca corona DD-BS-ET 300 A	      1	PC	HILTI			A	24.09.2024
	3000	3000	0001	680920053	202900	Prolongación broca corona DD-BS-ET 300 A	      4	PC	HILTI			A	24.09.2024
	3000	3000	0001	680920053	202900	Prolongación broca corona DD-BS-ET 300 A	      4	PC	HILTI			A	24.09.2024
	3000	3000	0001	680979491	202900	Prolongación broca corona DD-BS-ET 300 A	      4	PC	HILTI			A	02.10.2024
	8330	8330	0001	681076145	202900	Prolong. broca coroa DD-BS-ET 300 A	      1	PC	HILTI			A	15.10.2024
	3000	3000	0001	681088062	202900	Prolongación broca corona DD-BS-ET 300 A	      1	PC	HILTI			A	23.10.2024
	3000	3000	0001	681088063	202900	Prolongación broca corona DD-BS-ET 300 A	      8	PC	HILTI			A	23.10.2024
	3000	3000	0001	681139701	202900	Prolongación broca corona DD-BS-ET 300 A	      2	PC	HILTI			A	19.09.2024
	3000	3000	0001	681139702	202900	Prolongación broca corona DD-BS-ET 300 A	      4	PC	HILTI			A	19.09.2024
	8750	8750	0001	681048749	202901	Prolongación broca corona DD-BS-ET 500 A	      1	PC	HILTI			A	16.10.2024
	8330	8330	0001	680907579	203517	Espuma anti-fogo CP 660 INT	     64	PC	HILTI			A	11.09.2024
	8330	8330	0001	681026046	203517	Espuma anti-fogo CP 660 INT	     32	PC	HILTI			A	01.10.2024
	8330	8330	0001	681026047	203517	Espuma anti-fogo CP 660 INT	     32	PC	HILTI			A	01.10.2024
	8330	8330	0001	681106440	203517	Espuma anti-fogo CP 660 INT	     32	PC	HILTI			A	22.10.2024
	8330	8330	0001	681106441	203517	Espuma anti-fogo CP 660 INT	     80	PC	HILTI			A	22.10.2024
	8330	8330	0001	681106442	203517	Espuma anti-fogo CP 660 INT	    160	PC	HILTI			A	22.10.2024
	8330	8330	0001	681106454	203517	Espuma anti-fogo CP 660 INT	     16	PC	HILTI			A	22.10.2024
