13.09.2024                                         Dynamic List Display                                                                                                  1


	SOrg.	Plnt	Name 1	SLoc	Description	Material	Material Description	Profl.	Serial Number		PP	Equipment	Pstng Date	Total	Serials	BUn

	3000	3090	Hilti TS Mexico	0100	3090-0100	272441	Battery charger C 4/36-ACS Li-Ion 115V	Z001	8001351		01	300029830821	20.01.2010		     4	PC
	3000	3090	Hilti TS Mexico	0100	3090-0100	272441	Battery charger C 4/36-ACS Li-Ion 115V	Z001	8001502		01	300031076094	21.06.2010		     4	PC
	3000	3090	Hilti TS Mexico	0100	3090-0100	272441	Battery charger C 4/36-ACS Li-Ion 115V	Z001	8002519		01	300034116235	28.02.2011		     4	PC
	3000	3090	Hilti TS Mexico	0100	3090-0100	272441	Battery charger C 4/36-ACS Li-Ion 115V	Z001	8002627		01	300034116236	28.02.2011		     4	PC
	3000	3090	Hilti TS Mexico	0100	3090-0100	274935	Diamond coring tool DD 120 120V	Z001	254782		01	300024180201	28.05.2008		     2	PC
	3000	3090	Hilti TS Mexico	0100	3090-0100	274935	Diamond coring tool DD 120 120V	Z001	1415451		01	300024180761	28.05.2008		     2	PC
	3000	3090	Hilti TS Mexico	0100	3090-0100	283495	Diamond coring tool DD 200 127V	Z001	78496		01	300038259514	17.09.2013		     1	PC
	3000	3090	Hilti TS Mexico	0100	3090-0100	334239	Combihammer TE 76-ATC 120V	Z001	251541145		01	300024121423	22.05.2008		     1	PC
	3000	3090	Hilti TS Mexico	0100	3090-0100	377325	Powder-actuated tool DX E72	Z001	79259		01	300021543280	09.12.2009		     1	PC
	3000	3090	Hilti TS Mexico	0100	3090-0100	378272	Cordl. reciprocating saw WSR 650-A	Z001	125478		01	300024328098	11.06.2008		     1	PC
	3000	3090	Hilti TS Mexico	0100	3090-0100	378426	Battery pack B 24/3.0 NiMH	Z001	366910		01	300030824540	03.05.2010		     2	PC
	3000	3090	Hilti TS Mexico	0100	3090-0100	378426	Battery pack B 24/3.0 NiMH	Z001	14789632		01	300024328100	11.06.2008		     2	PC
	3000	3090	Hilti TS Mexico	0100	3090-0100	378449	Battery charger C 7/24 115V	Z001	147365		01	300024328099	11.06.2008		     5	PC
	3000	3090	Hilti TS Mexico	0100	3090-0100	378449	Battery charger C 7/24 115V	Z001	C		07	300016143496	30.12.2010		     5	PC
